stage,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.31,3.12,0,0,3.49,0,0,0,0,0,0
 14-21,1.11,0,0.84,0,0.85,0,0,2.34,1.08,0,0,0,0,0,0,0,0,0,0,25.12,1.35,0,0,0,0,2.59,8.08,0,0,0
 24-34,1.76,0,1.3,0,1.25,0,0,2.78,0.68,0,0,0,6.22,0,0,0,0,0,0,80.91,0,2.63,0,0,0,6.69,18.85,0,0,0
 36-46,0,0.63,34.81,0,0.84,0,0,9.4,0,0,0,0,1.17,0,0,1.65,1.23,0,0,185.14,0,0,7.93,0,0,4.97,16.87,0,0,0
 48-58,0,0,4.47,0,15.44,0,0.37,3.85,0,1.45,0,0,3.28,0,4.43,1.63,2.87,0,0.49,226.93,5.4,0,0,0,0,5.08,19.53,0,0,9.36
 60-70,0,0,0,0,64.02,0,0,59.63,0,2.2,0,0,1.76,0,0,9.22,1.1,0,0,288.22,1.5,0,0,0,0,6.6,27.63,0,0,0
 72-82,2.34,0.56,0,0,174.05,0,0,141.11,1.1,1.72,0.87,0.59,2.07,0,0.59,10.55,0,2.08,3.32,275.36,0.56,1.04,0.51,0,0,25.06,17.87,0.73,0,0
 84-94,0,0,9.13,0,87.98,0.79,0.78,42.13,2.62,1.53,0,0,4.65,0.66,0.74,3.31,0,0.86,0,188.73,0,0,0.62,0,2.33,30.85,11.73,0,0,0
 96-106,0.61,1.75,1.43,0,49.1,0,0,55.14,4.92,1.32,0,0,3.25,1.94,0,6.2,11.54,0,0,139.22,0.57,0,12,0,0.98,30.6,6.05,3.27,0.66,0.8
108-118,3.68,2.96,12.26,0.59,53.98,1.05,0,80.54,2.8,0,3.71,0,5.91,1.34,0.48,9.94,10.8,0,0,208.61,1.11,0,0.5,0,0,27.34,2.48,6.05,0,0
120,0,0,0,0,32.89,0,0,41.02,16.49,0,0,0,5.75,0,13.9,4.07,3.54,0,0,331.85,10.25,0,2.09,0,0,19.71,0,0,0,0
