stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0,0
  5-6,15.32,148.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.08,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.23,0,0,0,25.99,0,9.19,4.81,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.81,0,0,0,15.99,0,12.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,1.21,3.77,0,0,4.03,0,0,4.46,0,0.95,0.84,3.08,0,0,0,0,0
 24-34,0,0,0,0,9.49,0,0,0,0,0,0,0,0,0,0,0,10.78,0,4.59,0,0,2.18,26.05,0,0,264.69,0,0,1.22,0,0,2.96,0.83,0,0,6.47,0,0
 36-46,0,0,0,0,12.16,0,0,1.59,0,3.63,0,12.1,0,0,0,0,12.19,0,0.65,0,0,2.68,60.87,0,0.73,185.99,0,0,0.7,0,0,0,7.43,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,13.66,0.86,0,0.41,4.31,0,0,0.76,0,56.12,0,4.11,0,0,1.24,33.69,2.59,0,237.33,0,0,3.11,0,0,0,3.57,0,0,0.58,0,2.66
 60-70,0,0,0,0,0.57,0,0,16.77,0,0,0,0.72,0,0,0,7.06,195.8,0,4.28,0,0,2.19,35.66,7.33,1.56,482.58,0,0,3.63,0,0,0,1.65,0,0,1.45,0,0
 72-82,0,0,0,0,2.57,0,0,52.88,0,1.08,7.89,2.91,0,1.08,0,0,387.15,0,11.43,0,0,0.54,104.12,0,0,910.39,1.13,1.67,2.43,0,0,0,10.69,0,0.61,0.56,0.56,0
 84-94,0,0,0,0,1.87,1.62,0,34.67,0,0.84,8.11,12.25,2.24,0,0,3.75,427.9,0,11.33,0,0,0.83,25.47,3.84,0,952,0,0,5.77,0,0,0,0,0,1.8,0,3.55,5.28
 96-106,0,0,0.99,0,3.58,4.68,1.78,35.46,0,1.79,0,3.08,1.29,2.36,2.22,0,863.21,3.87,11.42,4,1.42,0,68.49,0,0,1162.63,0,0,11.29,0,0,0,1.72,0,0,0,2.92,0
108-118,0,0,0,1.47,7.85,0.5,1.23,27.12,0,0.48,0,8.73,0.56,0,0.47,0,475.28,3.85,9.09,0,0,0,52.36,0.5,0,1039.83,0,0,4.29,0,0,0,7.43,3.18,2.03,1.17,4.94,0
120,0,0,0,0,9.59,0,1.79,59.75,0,19.53,8.35,33.65,0,0,1,0,615.74,0,2.02,0,0,0,128.22,0,0,1223.27,0,0,6.75,0,0,0,0,0,0,5.43,0,0
