stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.87,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,22.19,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,47.12,0,0.89,0,107.99,0,3.36,0
 36-46,0,0,0,0,0,0,0,0,0.69,0,0,92.99,2.14,0.79,0,187.5,0,0,0
 48-58,0,0,0.71,0.9,0,0,0,6.53,1,0,0,152.68,0,0,0,113.01,0,0,2.47
 60-70,0,0,2.05,16.61,0,0,0,0,0,0,0,137.46,0,0,0,109.94,0,0,0
 72-82,0,0,0.5,8.35,0,3.82,0,0,0,0,0.74,197.33,0,0,0,72.47,2.29,0,0
 84-94,0,2.24,0,12.1,0,1.36,0.62,1.02,0,3.14,0,123.83,0,0,0,31.66,6.43,0,0
 96-106,0,0,4.36,4.5,0.61,1.65,0,0,0,0,0,106.37,0,1.1,0,19.45,2.79,0,0
108-118,0,0,0,9.05,0,2.1,0,0,0.62,0,0,94.78,0,0,0,8.27,0,0,0
120,0,0,5.97,29.62,0,4.97,0,0,0,0,0,309.16,0,2.35,0,75.65,0,0,0
