stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,9.89,424.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0
  5-6,0,231.94,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,11.47,0,0,0,0
  7-9,0,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,59.91,0,0,28.96,0,0,0,0,0
 10-12,0,0,18.53,0,8.6,0,7.16,0,0,0,0,0,0,0,0,0,0,112.96,0,0,45.62,0,0,0,0,0
 14-21,0,0,0,1.54,0,0,0.93,0,0,0,0,0,0,0,0,0,1.14,4.01,0,0,0,0,0,1.17,0,0
 24-34,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,4.22,0,17.29,0,0,0,0,1.13,2.45,0,0
 36-46,0,0,0,0,0,0,0.7,0.68,0,0.67,0,0,0,0,0,0.6,0.75,19.91,1.35,0.72,0,5.11,0,3.91,0.58,0
 48-58,0,0,0,0,0,0,3.19,1.69,0,1.13,0,0,0,0,0,0,0,29.16,0,0,0,0.94,0,1.37,0,0
 60-70,0,0,0,0,0,0,1.86,0,0,3.56,0,0,1.17,0,0,4.4,0,14.92,0,0,0,0,0,1.08,0,0
 72-82,0,0,0,1.13,0,0,6.67,0,0,5.1,0.67,0,0,0,0,15.24,0,30.28,0,0.79,0,1.98,0,0,0,0
 84-94,0,0,0,1.42,0,0,9.85,0,0,4.7,0,0,0,1.02,0,2.97,0,30.96,0,0,0,0,0,2.67,0,0.76
 96-106,0,0,0,2.58,0,0,2.52,0,0,1.29,0,0,0.62,0,0,1.87,0.81,15.02,0,0.57,0,1.66,0,0,0,0
108-118,0,0,0,1.37,1.75,0,2.09,0.96,1.03,0,0,0,0,0,0.97,5.79,0,17.23,0,0,0,1,0,1.97,0,1.68
120,0,0,0,0,0,1.03,5.5,0,0,11.67,0,0,0,0,0,3.35,0,43.69,0,0,0,0,0,0,0,0
