stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,12.7,47.58,7.74,0,42.54,0,0,0,8.86,3.82,7.08,1.52,0,2.98,0,0,0,0,24.99,0,0,36.74,358.86,6.54,6.07,0.98,16.22,0,14.26,57.82,4.8,2098.77,52.25,111.69,0,0,1.23,0,0
 24-34,0,1.94,7.82,26.77,1.47,0,96.6,0,2.35,2.62,11.09,3.04,0,9.25,0.87,3.25,0,3.2,0,2.77,105.37,0,0,86.42,1046.49,5.66,3.02,7.11,0,0,35.1,1.55,2.03,1389.8,9.19,200.59,0,0,42.25,0,8.19
 36-46,0,0,0,24.62,0,0,137.35,0,2.46,3.28,33.43,1.22,0,6.2,0,1.07,0,0.77,0,0.86,105.52,5.38,0.67,44.82,827.82,0.92,7.62,0.69,0,2.85,41.87,0,0.59,369.63,0,166.14,0,0,31.8,0,5.01
 48-58,0,0,0,16.01,0,0,207.16,0.37,0.4,2.82,55.88,0,2.3,11.16,0,1.42,2.83,0,0,0.87,89.34,1.45,2.77,18.34,582.36,0.66,7.9,2.29,0,0,22.32,0,0,47.79,0,115.83,0,1.41,22.64,0,1.47
 60-70,0.81,0,0,9.76,0,0,301.68,0,6.47,6.78,59.6,0.66,0,14.29,3.63,0.6,1.69,0.77,0,0,103.69,0,5.34,16.88,477.01,1.69,7.8,1.23,0,1.68,11.23,0,0,2.06,0,72.82,0,5.06,17.25,0,3.58
 72-82,0,1.48,0,10.84,6.06,0,179.98,2.65,1.27,3.78,43.51,1.5,0,8.05,0.83,2.74,1.24,1.26,1.68,0,71.42,0.52,1.27,17.3,332.69,1.67,4.54,10.82,0,3.36,23.67,0,0,0,0,38.82,1.31,2.25,59.47,1.05,7.96
 84-94,0,1.44,0,12.95,0.58,0,124.82,6.71,0,5.6,49.97,2.81,2.08,0.98,2.91,1.69,2.83,0.69,0,0.83,71.51,2.2,1.66,9.01,253.07,0.98,4.36,6.25,0,0,31.55,0,2.39,0.72,0,28.39,1.59,15.63,16.66,4.2,0.88
 96-106,0,6.81,0,30.41,1.32,6.18,125.75,0,1.73,3.05,49.86,8.17,0,7.63,3.88,3.65,2.41,1.83,0,2.56,84.3,0,3.06,16.35,197.17,0,9.76,8.82,0,2.38,50.32,0,0,0,0,10.62,3.56,77.72,29.56,0,0
108-118,0,0.77,0,10.32,6.39,1.48,100.59,0.64,3.07,2.51,39.8,12.9,0,0.83,2.58,0,4.29,4.91,2.09,0,121.29,2.14,7.62,12.88,264.7,0.85,19.78,8.51,8.11,2.06,27.66,0,0,0,0,5.71,2.99,1.39,12.19,4.25,0.96
120,0,0,0,22.13,2.21,0,94.45,5.36,0,0,86.06,8.66,0,12.51,21.08,0,12.97,0,7.1,0,102.7,0,1.83,34.53,377.54,0,4.31,1.5,0,0,19.77,0,0,0,0,21.94,1.27,24.68,36.06,0,1.64
