stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,muscle,neural,spinal.cord,vasculature
  5-6,17.66,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,28.43,0,0
 10-12,0,0,0,0,3.68,0,0,0,0,0,18.14,0,0
 14-21,0,0,0,1.96,0,0,3.39,0,3.58,3.37,1.02,0,0
 24-34,0,0,0.6,0,0,0,0,0,1.99,1.08,2.24,0,0.77
 36-46,0,0,0,0.72,0,0,0,0,1.31,0,2.21,0,0
 48-58,0,0,0,0,0.61,0.4,0,0,0.88,0,4.34,0,0
 60-70,0,0,0,0,0,0,0,0,3.92,0,10.6,0,0
 72-82,0,0,0,0,0,0,0,0,0.6,0,8.1,1.35,0
 84-94,0,0,0.68,0,0,0,0.88,2.14,0,0,2.57,0,0
 96-106,0,0.81,0.67,0,0,2.15,2.1,0,1.19,0,2.57,0,0
108-118,0,4.12,0.43,0,0,0,0.86,1.91,0,0,7.88,3.4,0
120,0,0,3.32,0,0,0,0,0,0,0,27.95,0,0
