stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,350.9,10095.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536.89,0,0,0,0,0,0,0,0,0
  5-6,701.39,8079.72,0,10.26,0,0,0,0,0,0,0,0,64.72,0,0,0,0,0,0,0,0,0,0,0,361.51,0,0,0,75.24,23.97,0,0,0,0,0,0,0,0,0
  7-9,208.3,87.4,0,177.98,0,0,0,203.62,0,0,0,0,228.4,0,0,0,0,0,0,0,0,0,0,0,2675.24,153.75,0,0,1299.27,3.78,33.07,0,0,0,0,0,0,0,0
 10-12,0,42.15,0,99.88,0,12.99,0,163.58,0,0,0,0,70.19,0,0,0,0,0,0,0,0,0,0,0,1621.87,26.32,0,0,670.1,0,3.78,0,42.11,10.82,9.29,0,0,0,0
 14-21,0,3.26,1.32,18.02,237.1,50.26,0,95.59,0,0,14.37,4.53,8.73,8.5,0.82,4.73,0,0,0,0,88.3,0,0,130.78,2098.78,16.89,30.37,22.78,58.01,40.93,0,330.68,8.81,149.16,671.84,0,4.93,0,0
 24-34,0,0,0.71,1.62,54.08,6.34,0,278.15,0,1,43.3,0,0.67,0,4.81,0,12.14,0,5.1,1.75,258.26,0.6,0,101.55,3701.53,9.32,46.45,21.74,0,91.54,0,1.65,8.72,14.09,941.52,0,56.1,0,1.51
 36-46,0,0,0,0,26.52,11.52,0,1277.93,0,0,39.14,1.61,0,1.76,7.2,0.79,4.52,1.16,1.39,0,243.85,0.56,23,56.87,3393.89,6,10.67,12.59,0,34.85,0,0,1.54,0,821.44,0,19.14,0,2.35
 48-58,0,0,0,0,38.04,20.84,0,1751.56,0,0,50.66,0.85,0,8.86,3.64,0,2.7,0.77,2.6,0,243.73,1.47,12.46,57.11,1787.11,5.74,10.95,10.53,0,21.28,0,0,1.05,0,274.6,0,19.48,0,11.35
 60-70,0,0,0,0,24.28,0.97,0,1118.24,0,1.14,43.56,2.83,0,0,7.57,0,0,0.65,0,0,133.66,0,21.42,26.24,738.97,6.89,1,9.24,0,17.03,0,0,0,0,46.42,0,2.65,0,4.29
 72-82,0,0,0,0,20.92,2.68,0,424.68,2.22,0,62.23,3.9,0,3,7.72,0,4.11,0,5.03,0,135.55,0,10.85,16.71,472.65,5.84,4.3,3.09,0,0.7,0,0,1.55,0,5.12,0.67,9.65,0,6.12
 84-94,0,0,0,0,33.33,8.99,0,301.1,0,0,23.36,10.56,0,0,8.51,2.58,3.94,0.81,2.98,0,105.92,0,16.33,25.17,409.18,4.9,6.22,8.59,0,6.42,0,0,0.97,0,9.92,0.63,19.85,1.36,6.4
 96-106,0,0,0,0,16.37,4.46,1,287.13,0,0,22.66,16.43,0,3.05,16.19,0,1.84,0.67,0.76,0,57.56,0,3.22,12.54,367.23,2.3,2.01,6.34,0,11.17,0,0,4.53,0,2.32,7.51,11.21,0.68,0
108-118,0,0,0,0,12.99,10.45,0,292.16,0,0,37.67,11.1,0,0,18.23,0.49,1.69,0,0.78,0,48.61,2.33,9.38,8.74,499.6,0.81,10.36,2.29,0,3.36,0,0,2.69,0,12.11,0.56,5.08,0,3.5
120,0,0,1.43,1.28,12.24,5.33,0,194.83,0,0,9.05,7.21,0,0,10.07,0,0,0,0,0,45.04,0,4.2,8.27,419.97,0,1.42,1.47,0,1.04,0,0,0,0,13.07,1.65,9.28,0,0
