stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,gut,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  5-6,26.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.77,0,0
 10-12,0,10.02,0,0,0,0,0,0,0,3.3,0,0
 14-21,0,0,0,0,0,0,0,0,0.88,0,0,0
 24-34,0,0,0,0,0,0.63,0,0,2.73,0,0.79,0.91
 36-46,0,0,0,0,0,0,0.89,0,0.69,0,0.88,0
 48-58,0,0,0,0,0,0,0.53,0.46,0.69,0,0,0
 60-70,0,0,0,0,0.82,0,0,0,2.41,0,5.06,0
 72-82,0,0,0,0,0,0,0,0,0.53,0,1.8,0
 84-94,0,0,0,0,0,0,0,0,0,0,6.5,0
 96-106,0,0,1.02,0,0,1.8,0,0,0,0,13.84,1.96
108-118,0,0,3.28,0.78,0,0,2.06,0,2.54,0,4.32,0
120,0,0,0,0,5.61,0,0,0,22.29,0,24.18,0
