stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,27.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.75,0,0,0,27.99,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.45,0,11.27,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.84,0,0,0,0,0,0,15.51,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,1.07,63.64,0,0,7.67,0,6.07,0,5.89,0,1.12,1.66,0,2.39,0,0,0,0,6.74,0,0,7.62,137.98,4.24,0,3.07,0,0,1.84,0,3.17,0,3.83,24.77,0,0,0.85,0,0
 24-34,0,1.26,1.3,21.97,0,0,28.15,0,15.91,4.22,0,0,0,0.67,0.73,9.28,0,1.4,0.76,0,18.74,0,0,6.83,86.34,3.77,9.93,7.99,0,0,17.28,0,0.93,1.39,1.08,19.67,0,0,12.23,0,0.63
 36-46,0,0,0,50.87,0,0,17.89,0,10.94,0.95,18.76,0.56,0,2.68,8,5.46,0.56,2.2,0.89,2.86,48.28,4.1,0,8.25,129.98,6.64,17.58,6.6,0,0,55.85,1.51,0,1.11,0,21.86,0,0,1.33,0,0
 48-58,0,0.42,1.05,24.46,0,0,37.93,0,25.23,5.78,35.94,0.75,2.46,0.4,10.85,5.56,0,1.79,0,8.81,35.38,2.47,0,2.78,120,21.91,7.41,7.6,0,0.61,51.84,0,0,0.62,0,21.15,0,0,0.57,0,7.1
 60-70,0,4.32,0,35.24,0,0,89.9,0,14.04,5.1,60.57,10.06,7.11,0,32.7,8.83,0,0,2.22,0,83.48,2.42,0.87,2.27,78.68,0.66,5.81,7.46,0,0,62.38,0,0,1.93,0,29.78,0,2.97,0,0,1.29
 72-82,0,11.52,0,37.69,0.88,0.72,177.97,0,14.85,17.18,302.47,105.91,1.41,0.66,18.38,7.79,0.83,7.4,142.76,0,181.32,4.36,1.42,13.81,159.24,3.79,12.86,39.1,0,0.89,29.99,0,0,5.53,0,14.72,9.45,3.38,7.98,1.31,9.96
 84-94,0,5.11,1.04,102.81,5.1,0,265.68,0,64.28,12.57,336.19,198.47,2.46,0,49.69,14.91,2.07,12.83,420.99,0,156.26,6.3,4.59,0,160.27,6.78,7.64,41.67,0,0.77,114.82,1.4,0,6.75,0,23.37,8.74,0.71,3.65,5.38,2.2
 96-106,0,14.54,3.21,114.15,22.91,0.72,228.56,0.71,17.37,11.9,302.34,220.53,0,3.89,28.15,22.09,0,11.99,582.82,0,248.57,18.03,7.11,12.74,304.14,9.56,26.63,30.5,0,0,60.95,0,0,13.7,0,27.31,18.16,4.19,13.86,5.52,3.38
108-118,0,8.48,6.47,212.04,6.88,7.77,245.03,2.15,37.05,12.82,639.31,351.99,2.74,0.69,25.68,34.56,1.44,13.19,4017,0,293.83,6.74,2.68,6.7,605.53,17.55,18.33,42.55,0,1.95,78.33,0.42,0,5.41,0,38.93,29.99,1.23,12.29,1.93,27.78
120,0,0,0,83.67,1.07,1.36,126.96,0,20.96,14.32,295.12,55.51,0,6.72,5.63,14.51,0,10.46,29.67,5.95,187.27,4.86,0,6.06,271.28,20.34,23.81,25.12,0,0,35.01,0,0,1.58,0,5.48,4.3,0,0,11.54,12.41
