stage,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,heart,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.92,0,0.69,1,0,0,0,5.62,0,0,0,0
 36-46,0,0,0,0.77,0,0,0,0.65,0,0.81,0.63,17.62,5.04,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.77,0,0,0,1.18,0.4,2.33,0,0,0,0,0,1.3,0,0,0
 60-70,0,4.54,0,0,0,0,0,0,0.59,10.51,0,8.42,0,0,0,0,0,0,0,1.83,0
 72-82,0,0.62,0,0,0,0,0,0,0,7.27,0,2.09,0,0,0,0,0,0,0,1.26,0
 84-94,0,3.19,0,0,2.13,0,0,0,0,2.89,3.63,0,0,0,0.7,0,0,0,1.13,0,0
 96-106,0,15.51,1.05,0,0,0,0,0,0,2.89,0,3.07,0,5.58,0,0,0,0,0,4.58,0
108-118,1.54,7.47,0,0,0,0,2.45,0,0,3.78,0,11.76,0,0,0.82,1.58,0.67,0,0,7.34,1.44
120,0,7.96,0,0,0,0,0,0,0,8.38,1.95,36.58,0,0,0,0,0,0,0,3.25,0
