stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.79,469.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.46,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,425.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.59,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.84,4.1,0,0,13.45,0,0,12.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.88,0,0,0,0,0,27.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.72,0,0,0,11.74,0,0,11.7,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,6.47,0,0,0,0,0.81,1.86,0,0,0,0,0,0,0,0,2.39,93.37,0,2.02,0,0,0,0,0,0,0,0,2.28,35.46,0,0,0,0,0
 24-34,0,0,0.84,0,1.29,0,0,8.58,0,0,0,4.18,0,0,0,0,0,0,0,0,13.93,0,1.68,352.3,0,8.93,1.53,0,0,0,0,0,0.83,0,0,70.5,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,29.27,0,0,0,9.99,0,0,0,0,0,0,0,0,3.63,0,0.89,479.67,0,12.54,0,0,0,9.44,0,18.37,0,0,0,77.23,0,0,1.36,0,0
 48-58,0,0,0,0,6.36,0.57,0,110.81,0.42,0,0.94,8.65,0,0,0,0,0,0,0,0,8.02,0,1.95,515.08,0,4.87,0,0,0,0,0,0,0,0,0,100.28,0,0,1.49,0,3.95
 60-70,0,0,0,0,0,0,0,327.48,0,0.94,0,23.75,0,0,0,2.66,0,2.04,0,1.05,5.62,0,3.08,713.96,10.53,2.59,1.46,0,0,11.3,0,0,0,0,0,91.85,0,0.61,0,0,0.99
 72-82,0,0,1.69,0,7.09,2.18,0,512.87,1.1,4.54,0.8,28.13,1.38,0,0.58,0,0,0.59,0,0,30.16,7.61,1.93,735.73,0,21.7,0.79,0,0,0,0,0,0,3.03,0,78.27,2.17,0,1.53,2.1,0
 84-94,0,0,0,0,6.24,0,0,302.78,0,0,1.89,7.49,0,0,1.27,0.63,1.03,3.49,4.45,0,16.21,0,0,574.3,0,13.61,1.21,0,0,2,0,0,1.26,0,0,48.29,0,0,9.04,0,0
 96-106,0,0,0,0,7.45,0,0,242.88,0,0,0,5.54,0,0,0,0,0,3.98,0,0,9.47,0,0.93,558.34,0,12.72,1.89,0,0,3.74,0,0,0,0,0,42.96,0,1.93,0.71,1.26,1.22
108-118,0,0,0,0,2.36,0,1.67,221.41,0,0,0,16.18,0,0,0,0,0,15.17,2.23,2.16,13.9,0,0,653.25,0,13.34,0,0,3.03,1.08,0,0,0,0,0,24.64,0,0,1.94,0.49,5.34
120,0,0,0,0,19.24,0,0,268.96,0,2,0,26.33,0,0,0,0,0,8.32,9.22,1.79,7.3,9.54,0,1379.72,0,1.32,0,0,0,19.45,0,0,0,0,0,52.46,0,0,0,0,0
