stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.48,0,0,0,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.99,0,0,0,26.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.94,3.56,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.93,4.93,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,3.59,64.93,2.16,0,0,0,0,0.97,3.91,0,0,0,14.58,0,0,0,0
 24-34,0,0,0,0,4.49,0,0,3.2,0,0,0,0,2.67,0,0,0,0,0,0,0,3.72,0,0.91,4.31,881.46,0,1.55,0,0,0,3.94,0,0,0,1.83,16.31,0,0,3.62,0
 36-46,0,0,0,0,8.13,0,0,13.16,0,0,0.62,3.94,0,0,0,0,0.56,0,6.07,0,13.38,0,0,1.3,1275.82,0,0,1.46,0,0,4.48,0,0,3,0,16.62,0,0,7.56,0
 48-58,0,0,0,0,3.3,0,0,49.1,2.13,0,0,6.78,0,0,0,6.79,0,0,0,0,27.98,0,0,1.85,853.58,7.09,0,0.46,0,0,0.57,0,0,0,0,27.08,0,0,1.35,0
 60-70,0,0,0,0,4.93,0,0,49.43,1.28,6.28,0,11.29,0.72,0,0,0,0,0,0,0.71,20.17,0,0,0,582.18,0,0,0,0,0,0,0,0,0,0,5.27,0,0,1.31,0
 72-82,0,0,0,0,1.89,3.79,0,52.4,0,0,0,13.99,0,0,0,0,0,0,0,8.68,16.06,0.75,0,2.35,557.69,0,8.64,0.56,0,1.61,3.93,0,0,0,0,3.12,0,0,1,0
 84-94,0,0,0,0,4.18,1.38,0,52.41,0.91,0,0,0.99,0,0,1.04,0,0,0,0,0,9.81,0,0,1.2,303.6,0.67,1.95,0.89,0,0,3.69,0,0,0,0,10.51,1.35,1.24,1.22,0
 96-106,0,0,0,0,1.09,18.07,0,27.61,0,0,0,13.18,0.63,0.61,0,0,0,0.92,0,0,16.73,1.15,0,0.69,223.97,0,0,2.2,0,0,3.23,0,1.11,0,0,0,0.61,0,2.75,0.79
108-118,0,0,0.57,0,11.94,0.59,1.93,13.29,6.72,0,0,1.44,0,0,1.25,0,0.58,0,0,0,8.68,0,0,4.19,206.96,0.42,1.47,1.08,0,0,10.69,0,0,0,0,0,0,0,0,1.73
120,0,0,0,0,0,5.63,0,30.75,1.14,0,0,7.02,0,0,8.45,0,0,0,0,0,14.22,0,0,0,281.18,0,0,11,0,0,1.37,0,0,0,0,0,0,0,3.45,0
