stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,31.45,215.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,71.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.08,4.84,0,0,10.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.9,31.37,0,0,21.37,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,22.52,16.74,0,0,1.09,0,0,1.48,0,0,0.95,16.27,0,0
 24-34,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,1.04,48.71,0.6,0.99,0,0,0,0,0,0,1.04,0,49.57,0,0
 36-46,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.21,0,0.66,0,0,0,0.99,0,0,0,0,90.45,0,1.99
 48-58,0,0,0,0,8.75,0,0,63.98,0,0.83,0,16.53,0,0,0,0,0,0,2.63,3.04,0,0,0,436.57,0,0,0,0,0,2.11,0,0,0,0,128.49,0,0
 60-70,0,0,0,0,3.56,0,0,89.74,0,0,1.42,2.34,0,0,0,0,0,0,5.69,4.78,0.65,7.45,0,544.49,0,0,0.56,0,1.19,0.57,0,0,0,0,86.27,0,3.7
 72-82,0,0,0,1.12,0.5,3.17,0,90.48,0.5,1.19,0,17.27,1.39,0,0,0,0,0,10.18,12.66,6.76,0,0.5,390.55,0,0,1.01,0,2.85,7.45,0,0,0,0,95.48,0,2.59
 84-94,0,0,0.94,0.67,2.07,0,2.25,50.05,0,0.58,0,15.25,1.6,0,0,0,0,0,54.14,19.05,8.05,0,0,250.1,0,0,3.59,0,1.53,0,0,0,0,0,24.26,0,0.84
 96-106,0,0,0,4.57,5.6,0,0,66.59,0.78,0,0,2.29,2.99,0,0.75,0.63,0,0,41.41,16.15,9.39,4,0,256.17,0,0,8.33,0,8.36,1.14,0,0,0,0,16.92,0,0
108-118,0,0,0,4.38,2.25,1.77,0,89.85,3.29,1.28,0,19.63,10.27,0.69,0,0,5.15,0,55.03,7.37,0,3.07,0,292.83,0.59,0,6.1,0,4.63,0,0,0.54,0,0,10.89,1.37,2.77
120,0,0,0,0,0,13.29,0,57.88,0,0,0,45.17,18.21,0,0,0,0,3.78,34.06,11.43,3.01,0,0,314.83,0,0,28.45,0,0,0,0,3.15,1.52,0,17.58,0,1.48
