stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.28,1029.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.03,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.37,406.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.02,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,0,0,21.48,0,0,0,0,0,0,0,0,0,0,0,10.67,4.1,0,0,70.21,0,0,19.29,0,0,0,19.29,0,0,0,0,0,0
 14-21,0,0,0,0,1.65,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,5.37,16.29,0,0.88,0,0,2.32,0.9,1.79,2.39,29.09,15.94,2.51,0,0,0,0,0
 24-34,0,0,0,0,1.36,0.68,0,17.26,0,0,0.71,0,0,1.57,0,0,0,0.75,0,13.12,212.97,1.46,0,0,0,12.98,0,0,0.73,0,0.63,3.26,0,0,2.11,0,0
 36-46,0,0,0,0,0,0,0,18.8,0,0,0,0,1.76,0,0,0.7,0,1.7,0.56,20.41,246.44,0.96,0,0,0,5.96,0,0,0,0,0,2.05,0,0,0.71,0,0
 48-58,0,0,0,0.43,0,0,0,5.09,0,0,0,0,0,0,0,2.68,2.02,3.04,0,22.05,105.55,0,0,0,0.47,0,0,0,0.37,0,0,2.79,0,0,4.28,0,11.12
 60-70,1.12,0,0,0,0,0,0,113.12,0,0,0,0,0,0,0,3.62,0,0.8,14.79,62.34,33.52,0.89,0,0,0.71,1.34,0,0,0,0,0,2.38,0.61,1.01,9.32,0,13.91
 72-82,0,0,2.76,0,0,0,0,102.92,0,3.2,1.1,1.12,0,0,0,2.72,0,1.2,0,15.78,15.93,1.49,0,0,0,0,0,0,0,0,0,5.08,1.01,1.57,13.24,3.09,15.56
 84-94,0,0,1.48,0,0,0,0,116.16,0,3.68,0,1.06,0,0,0,11.07,4.83,0.57,0,22.99,9.51,0,0,0,0,1.22,0,0,0.62,0,0,8.94,0,0,4.63,0.81,18.18
 96-106,0,0,0.63,0,0,0,0,65.36,0.59,2.22,0,0,0,0,0,7.77,0.75,0,0,27.01,4.19,2.57,0,0,0,5.12,0,0,0,0,0,0,2.51,2.06,15.09,3.65,2.16
108-118,0,0,1.56,0,0,0.99,1.75,84.13,0,22.7,2.97,1.12,0,0,0,21.76,1.01,0,0,21.63,13.11,2.19,0.43,0,0,0.44,0,0,0.75,0,0,0,0.52,0,9.79,3.42,8.68
120,0,0,0,0,0,0,0,77.35,0,0,2.64,0,0,0,1.69,22.33,0,11.43,0,37.06,0,0,0,0,0,2.38,0,0,0,0,0,0,3.65,0,16.25,0,0
