stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,50.72,910.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.12,0,0,0,0,0,0,0,0,0
  5-6,64.12,406.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.21,0,0,0,0,0,10.59,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,5.57,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,78.93,4.82,0,0,26.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.82,4.01,0,0,32.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0.97,0,0,2,0,0,0,0,0.81,0,0,0,0,0,0,0,17.95,0,0,0,0,0,0,3.31,0,0,39.61,2.48,0,0,0,0
 24-34,0,0,0,0,0.62,0,0,1.97,0,0,0.68,0,0,0,0.64,0,0,7.44,0,8.36,19.96,0,0.94,0,0,0,0,0,1.58,0,12.25,4.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,10.5,1.17,0,3.57,8.23,0,0,0,0,0,29.48,0,16.74,26.85,0,0,6.48,0,0,4.5,0,0,0,0.84,2.69,0,0,0,0
 48-58,0,0,0,0,0,0,0,27.22,3.14,8.14,7.93,20.93,0,0,0,0,0,65.22,0,21.07,22.54,0,0,1.28,0,0.47,0.54,0,0,0,0,2.03,0,0,0,0
 60-70,0,0,0,0,0,0,0,40.98,5.19,0,2.69,98.81,0,2.33,1.98,2.69,0,131.75,0,17.76,27.46,0,0.6,0.63,0,0,0,0,0,0,0,8.7,1.52,2,0,0
 72-82,0,0,0,0,1.97,0,0,49.22,1.24,0,17.91,219.31,0,3.46,1.92,0,0.5,188.39,0,19.5,35.24,0.52,0.71,0.81,0,0,0,0,0,0,0,0,1.01,0,0,0
 84-94,0,0,0,0,2.7,0,1.52,70.89,1.7,0.84,7.22,174.06,0,0,0.68,0,0.59,202.32,0,17.19,50.36,0,2.28,4.6,0,0,0,0,0,0,0,6.14,3.37,0,1.16,0
 96-106,0,0,0.95,0,6.03,2.23,0.71,60.06,7.02,0,8.78,232.65,2.23,1.14,7.05,0.77,20.66,231.07,1.67,20.53,68.26,0.57,4.62,4.9,0,0.79,5.93,0,0,0,0,5.16,15.89,1.87,1.74,0.61
108-118,0,0,0,0,4.23,0,9.73,88.54,4.4,0,23.65,254.73,0.49,0,4.95,5.02,1.74,345.62,1.57,24,78.77,0.45,11.98,2.35,0,0,1.54,0,0,0,0,4.07,9.51,0.41,4.23,0
120,0,0,0,0,4.07,0,0,46.62,6.76,0,14.68,343.73,0,3.5,1.36,0,1.02,232.33,2.22,20.14,64.94,0,2.88,0,0,0,12.95,0,0,3.27,0,15.97,7.11,0,0,0
