stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,80.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0
  5-6,6.35,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,10.94,0,0,0,0,0.95,3.78,0,0,0
 24-34,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,1.8,67.48,0,0,0,0,0,60.93,0,0,0
 36-46,0,0,0,0,0.65,0,0,0,0,0,0,0,0.9,0,0,61.1,0,0,0,0,0,14.21,0,0,0
 48-58,0,0,0,0,26.94,0,0.78,0.66,2.07,0,0,0,0.43,0,0,69.11,0,0.61,0,0,0,28.7,0,0,0
 60-70,0,0,0,0,44.53,0,0,1.48,0,0,0,0,6.03,1.11,0,259.94,0,6.8,0,0,0,30.23,0,0,0
 72-82,0,0,0,0,64.2,0,0,0,4.81,0,0,0,26.46,0,4.39,301.7,0,0,0,0,0,18.74,0,1.79,1.14
 84-94,0,0,0,0,69.04,0,0,0,15.94,2.32,0,1.03,5.98,0,0,179.37,0,0,0,0,0,24.03,0,0,1.25
 96-106,0,0,0,0,57.09,0,0,0,7.87,0,0.82,0,7.31,0,0,107.82,0,0.59,0,2.72,0,6.3,1.93,0,0.59
108-118,0,0,0,0,42.41,0,0,0,12.22,0,0,0,12.62,0,0,214.61,1.23,0,0,0,0,1.43,0,0,0
120,0,0,1.8,2.01,104.18,2.29,0,0,50.82,0,0,0,21.55,0,0,785.86,0,17.67,0,0,0,44.79,0,0,9.83
