stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.14,136.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910.53,0,0,0,0,0,0,0,0,0,0
  5-6,17.61,257.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,16.8,0,0,0,1053.98,0,0,0,0,0,0,0,0,0,0
  7-9,5.34,25.79,0,0,0,0,0,103.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.87,13.63,0,0,131.1,22.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,66.53,0,0,0,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.77,35.92,0,0,165.87,7.56,0,0,21.95,0,0,0,0,0,0,0
 14-21,0,0,0,8.96,105.13,44.71,0,13.69,0,0,0,4.63,4.59,2.04,0,5.82,1.12,1.47,7.86,0,0,14.25,198.21,3.77,1.98,60.57,3.88,46.16,0,16.46,4.87,0,11.32,44.34,0,0,16.15,0
 24-34,0,0,0,5.38,16.08,10.26,0,24.77,3.46,2.2,1.41,2.71,0.61,19.04,1.34,1.3,10.79,0.67,39.56,0.64,0,19.4,113.49,3.17,8.14,37.73,0,22.91,0,0,5.82,0,12.1,17.13,0,0,69.14,0
 36-46,0,0,0,0,7.61,0,0,7.49,31.87,0,0,7.15,0,4.4,3.8,0,2.66,1.19,20.99,0,0,10.71,44.42,0.9,1.91,17.1,0,3.51,0.81,0,9.26,0,0,5.18,0,0,40.81,0
 48-58,0,0,0,0.87,2.11,0,0,9.98,27.29,2.14,1.3,8.14,0,3.41,10.42,0,1.32,3.74,49.92,0,0,3.73,66.39,0.99,0,6.14,0,2.28,0,0,2.01,0,0,8.6,0,0,12.93,0
 60-70,0,0,0,0,2.14,0,0,13.75,20.05,0,0,28.26,0.64,7.31,21.31,0,5.12,3.82,47.52,0,9.54,2.17,31.19,0,1.56,4.13,0,1.26,0,0,0.93,0,0,1.5,0,0.79,4.29,0
 72-82,0,0,0,0,1.49,0,0,30.65,6.86,6.26,0,23.33,0.76,2.61,12.75,0.63,3.99,3.14,54.35,0,0,0,47.69,0,0,4.95,0,3.32,0,0,3.06,0,0,7.68,1.42,0,3.57,5.7
 84-94,0,0,0,0,10.39,1.44,3.35,18.58,14,1.11,0,60.65,2.95,4.06,92.7,0,6.24,9.71,58.69,0.65,2.03,1.27,35,0,3.83,5.58,0,7.43,0,0,4.22,0,0,3.86,0,0,18.46,0
 96-106,0,0,0,0,21.28,0,0,38.85,35.82,0.58,0,82.11,0.93,6.87,41.01,0.63,5.05,2.46,47.85,0,0,3.85,103.39,0,0,4.84,0,8.7,0,0,0.73,0,0,2.04,0.79,3.87,16.51,0
108-118,0,0,1.13,0,12.09,2.09,13.6,18.41,30.57,1.3,0,141.65,0,3.41,79.84,0,3.66,4.2,33.49,0,0,9.43,97.59,0.85,3.47,4.52,0,0,0,0,1.76,0.5,0,3.73,1.25,0,1.06,0
120,0,0,0,0,9.63,17.95,2.35,38.22,35.15,0,0,423.95,0,0,78.92,2.5,1.15,7.49,55.29,0,0,7.62,245.75,0,1.45,0,0,5.13,0,0,0,0,0,22.65,0,0,1.48,0
