stage,blastomeres,endoderm,epidermis,glial,gut,hatching.gland,ionocyte,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
  3-4,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.87,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0
 36-46,0,0,0,0,0,0,0,0,2.53,0,0,1.14,0,0
 48-58,0,0,0.58,0,0,0,0,0,0,0,0,2.77,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0
 72-82,0,0,0.68,0,0,0,0,0,0,0,0,7.85,0,0
 84-94,0,0,6.73,0,0.61,0,0,0,0,0,0,42.4,0,0.94
 96-106,0,0,4.9,0.89,4.8,0,0,0,0,0.67,2.22,18.27,0,0
108-118,0,0.74,2.38,0,0,0,1.43,0,0,0,0,7.27,0,0
120,0,0,17.26,0,0,0,0,1.93,0,0,0,7.81,0,0
