stage,exocrine.pancreas,eye,glial,ionocyte,mesenchyme,muscle,neural,otic,pericytes,spinal.cord,taste
 24-34,0,0,0,0,0.92,0,0,0,0,0,0
 36-46,0,6.46,0,0,0,0,1.62,0,0,0.92,0
 48-58,0,12.22,0,0,0,0,3.53,0,0,0,0
 60-70,0,81.99,0.58,0,0,0,18.48,0,0,0,0
 72-82,0,232.9,3.03,0,0,0,11.98,0,0,1.28,0
 84-94,0,174.25,2.01,0,0,3.79,12.19,0,0,0,0.9
 96-106,1.05,321.62,2.08,0,1.02,0,45.54,0,0,0,0
108-118,0,141.18,0,0.42,3.65,0,10.4,0,0,0,0
120,0,48.96,0,0,0,0,34.87,3.1,6.17,0,0
