stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,107.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.17,211.46,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,8.83,0,0,0,0,0,0,0
  7-9,0,0,4.12,0,16.75,0,0,0,7.85,0,0,0,0,102.31,0,0,0,8,0,0,0,0,0,0,0
 10-12,0,0,4.07,0,0,0,0,0,0,0,0,0,0,80.16,0,0,0,13.94,0,0,0,0,0,0,0
 14-21,0,0,0,8.62,4.14,0,0,0.81,0,0,0,1.67,0,29.01,1.7,0,0,0,0,0,5.62,4.07,2.51,0,0
 24-34,0,0,0,3.09,5.61,0,0,0,0,0.65,0,1.42,1.74,30.68,0,0,0,0,0.73,0,0,1.62,4.66,0,0
 36-46,0,0,0,19.62,3.52,0,2.06,0,0,14.55,0,5.8,0,40.82,0,0,0,0,17.93,0,0,0,3.05,1.49,0
 48-58,0,0,0,0,8.93,0,6.77,0,0,0,0,0.8,5.18,10.94,0,0.87,0,0,3.03,0,0,0,1.7,0,0
 60-70,0,0,0,0,0.99,0,0.89,0,0,0,0,0.66,0,1.88,0,0,0,0,0,0,0,0,0.67,0,0
 72-82,0,0,0,1.32,3.7,0.58,1.78,0,0,0,1.06,3.54,0.84,2.44,0,0,0,0,0,0,0,0,1.36,3.98,0
 84-94,0,0,0,0,1.26,1.74,0.87,0,0,0,0,1.86,0,3.96,0,0,0.91,0,0.91,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,4.13,0.65,0,0.79,0,0,0,0,3.39,0,0,0,0,0
108-118,0,0,0,0,6.2,0,0.64,0.67,0,0,0,0,0,4.6,0,0,1.35,0,0,0,0,0,0,0,0.61
120,0,0,0,0,0,0,0,0,0,0,0,4.96,0,24.17,0,0,0,0,0,0,0,0,0,0,0
