stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,143.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,201.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.36,0,0,0,0,64.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.46,10.5,0,0,79.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.02,24.35,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.44,17.33,0,0,72.54,0,0,0,35.24,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,26.27,7.93,20.6,0,0,0,6.84,0,0,0.93,0,6.71,0,0,0,0,111.43,0,0,81.67,150.87,0.86,0,1.92,6.11,0,0,4.55,0.91,0,29.88,62.79,0,0,0,0,0
 24-34,0,0,0,23.99,0,4.93,0,0.71,5.2,0,0,0,0.92,0,0,0,0,0,1.85,128.41,0,0,50.71,216.24,0.74,0.82,2.21,0,0,0.78,0,4.01,0,3.18,44.92,0,0,0.64,0,0
 36-46,0,0,0,5.67,0,7.5,0,2.35,8.75,7.14,0.72,0,1.64,0,0,0.57,0,0,1.28,235.39,0,5.45,44.42,766.37,14.03,0.91,0,0,0,4.31,0,3.8,0,0,63.92,0,0.62,3.76,0,0
 48-58,0,0,0,8.92,1.56,137.47,0,0.97,10.3,45.12,0,0,0.87,0,0,1.96,0.41,2.34,18.49,370.21,0,3.7,30.43,1823.35,3.84,1.44,4.7,0,0,0.81,0,0.44,0,0,121.19,0,0.88,0.88,0.9,2.13
 60-70,0,0,0,13.47,0,700.72,0,8.36,11.19,63.49,0.72,0,0.93,0,0,0.62,1.88,0,12.91,764.85,0,3.83,12.77,2762.17,1.65,0,7.56,0,2.69,1.12,0,0.63,1.25,0,180.99,0,6.73,0.89,0,5.35
 72-82,0,0,0,32.09,5.73,636.02,0,1.65,29.25,57.68,0.86,0,2.07,1.46,0,0,1.54,0,8.84,1098.92,2.78,17.51,25.95,2180.48,0,0.7,19.26,0,1.67,0,0,0,0,0,198.17,0.56,11.39,6.69,23.44,3.96
 84-94,0,0,0,50.65,0,429.84,0,1.46,11.87,55.51,0,3.72,5.05,1.52,0.68,0.83,1.77,0,28.27,879.55,5.26,18.19,17.55,1539.4,0.89,10.03,10.04,0,0,1.93,0,0.77,10.91,0,144.6,0.81,3.84,17,23.9,6.99
 96-106,0,0,0,51.62,14.05,232.98,0,3.44,13.73,34.58,1.25,0,7.08,3.2,2.48,1.89,9.7,0,16.98,800.69,3.17,6.25,16.99,1191.21,0,2.76,26.98,0,6.55,8.55,0,0.57,4.11,0,73.29,2.61,11.86,9.19,30.84,2.57
108-118,0,0,0,53.67,3.05,322.83,0.54,3.66,8.48,54.67,0.45,0,5.93,0.75,0.49,4.83,0,0,14.38,834.13,1.27,13.23,13.02,1494.73,4.27,1.47,15.46,0,16.92,1.67,0,1,0,0,49.66,3.26,14.71,0,15.99,5.4
120,0,0,0,47.78,0,327.45,0,3.01,1.58,38.31,0,0,7.18,4.29,0,1.05,6.35,0,0,743.01,1.56,0,17.14,1762.28,0,29.7,42.04,0,42.27,4.35,0,0,0,0,54.79,0,6.25,9.37,19.13,0
