stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,11.91,0,0,0,3.58,0,8.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.04,0,0,0,0,0,0,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0,37.43,29.15,0,0,33.95,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.24,0,175.31,3.38,0,1.78,0,1.69,0,0.93,3.02,0,0,0,0.95,0,51.04,1.05,27.24,0,0,23.45,25.81,166.78,0,0,0,0,19.96,2.58,14.56,0.82,0.9,26.85,24.97,0,0,0,0
 24-34,0.66,0,84.27,0,0,5.85,0,14.48,6.71,1.31,0,0,0.68,2.17,2.1,0,41.53,0,44.94,1.24,0.82,29.6,21.23,40.19,0,2.27,0,0,26.82,0,0,1.72,1.16,6.44,4.73,0,0,5.17,0
 36-46,2.01,0,80.93,0,0,4.18,0,10.56,23.93,1.69,0,0,0,2.41,0,0,12.39,0,86.77,0,0,27.8,27.83,18.08,0.7,5.49,0,0,65.75,0,8.18,1.29,0,0.83,5.79,0,0,0.69,0
 48-58,0,0,61.47,0,0,19.77,0,9.33,25.88,5.73,0,0,0,0.42,0,0,16.44,0,143.28,0.63,0,21.1,40.23,6.87,0,4.18,0,0,39.38,0,0,0,0,0,5.25,0,0,0,0
 60-70,0.9,0,37.12,0,0,37.96,0,18.67,20.61,19.22,0,0,0,13.19,0,2.99,9.44,0,220.16,0.57,0,12.89,32.37,1.26,0,5.36,0,0,18.32,0,0,1.05,0,0,6.4,0.61,5.55,0.71,1.25
 72-82,0,0,36.13,0,0,26.75,0,3.23,45.2,2.16,0,0,0,8.95,0,0,16.06,0,259.47,0.56,4.78,14.64,15.89,1.67,1.08,11.3,0,1.1,6.31,0,0,0,3.03,0,0,0,5.17,1.68,3.95
 84-94,0,0,62.11,4.55,0,24.54,0,4.51,26.76,5.43,1.6,0,3,10.38,1.56,0,9.88,0,196.04,0.62,0,5.39,10.42,4.91,0,9.92,0,0,21.25,0,0,0,0,0,4.22,0.55,7.12,0,2.43
 96-106,1.25,0,38.41,5.49,1.76,15.79,0,4.73,16.69,3.28,0,0,0,21.29,0.85,0,18.51,0,178.62,0.98,0.63,8.44,22.54,1.59,0.96,7.25,0,2.5,12.54,0,0,0.73,0,0,0,0,4.61,2.68,1.35
108-118,0.71,0,38.85,0,0.65,17.54,0.56,10.4,24.4,4.38,1.38,0,1.01,12.04,0,2.39,19.23,0,162.03,0,0,9.73,21.67,2.92,0.77,6.57,0,1.58,2.95,0,0,0.54,0.48,0,0,0,0,2.16,13.04
120,1.73,0,23.05,0,0,0,0,14.34,28.2,0,1.04,0,0,25.33,0,0,1.17,0,146.47,1.16,1.83,7.18,20.95,9.53,2,8.4,0,4.76,0,0,0,6.23,0,0,0,0,6.42,0,0
