stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.9,164.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0
  5-6,58.33,395.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.16,0,0,0,9.86,0,0,0,0,26.85,0,0,0,0,0,0,0,0,0,45.45,0,0,4.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.81,0,0,0,0,0,21.2,0,0,0,0,147.02,0,0,0,0,0,0,0,0,0,105.57,22.49,0,32.1,0,14.56,0,10.39,0,0,0,0,0,0
 14-21,0,0,0,1.03,4.05,0.87,0,2.73,0,0,0,0.92,18.73,0,2.6,0,0,0,0,0,0,0,38.78,8.81,0,0,7.89,0,7.34,0,7.65,13.82,0,0,0,0
 24-34,0,0,0,0.6,5.31,0,0,3.21,0,0,0,0,4.49,0,6.4,0,1.42,0,0,8.33,0,0,150.08,0.83,0,0,15.51,0,0,0,1.01,24.87,0,0,0,0
 36-46,0,0,0,0,1.59,0,0,3.59,0,0,0,1.22,4.01,0,1.45,0.71,0,6.3,0,1.64,0,0,331.44,2,0,0,24.73,0,0,0,0,24.22,0,0,0,0
 48-58,0,0,0,0,12.49,0,0,16.72,2.95,0.42,3.22,1.48,0.54,0,0.38,0,0,0,1.42,8.79,0,0.41,305.37,0,0.85,0,13,0,0,0,0,29.76,0,0,0,0
 60-70,0,0,0,0,1.15,0,0,102.5,2.63,0,2.3,8.31,1.88,0,0,0,0,0,7.37,6.31,0,0,567.65,1.94,0,0,9.6,0,0,0,0,29.4,0,0.9,0,0
 72-82,0,0,2.68,0,3.94,1.32,0,83.48,0,0,3.01,17.06,2.15,0,0,0,0,0,18.13,6.32,0,0,437.17,0.5,1.5,0,10.8,0,0,0,0,41.49,1.01,0,0,0
 84-94,0,0,2.56,0,6.93,9.14,0,119.92,0,0.75,5.61,31.17,1.76,0,0,0,0.6,3.29,30.49,9.43,1.74,0,319.11,3.84,0.91,0,30.08,0,0,0.67,0,14.43,7.84,0,0,0
 96-106,0,0,4.93,0,4.73,8.66,1.12,108.49,0,0,6.39,23.66,2.38,0,0,0,0,0,9.02,45.33,0,0,287.44,1.75,3.13,0,20.27,0,0,0,0,13.75,16.27,0,2.1,0
108-118,0,0,8.59,1.26,30.84,0,0.94,83.94,0.53,0,3.81,29.66,2.74,0.63,2.55,0,1.36,0,4.57,32.95,0.65,0,361.37,0.48,1.07,0,19.48,0,0,0,0,11.99,8.07,0,7.74,2.22
120,0,0,0,3.17,2.52,2.68,0,53.39,0,0,9.04,31.41,0,1.49,3.02,0,0,0,7.4,15.2,0,0,615.07,1.12,0,0,20.23,0,0,0,0,15.49,4.77,0,0,0
