stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,61.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.94,0,0,0,0
  5-6,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.86,0,0,0,0
  7-9,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,10.39,0,0,0,10.96,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0,11.38,0,0,0,0
 14-21,0,0,1.09,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,15.9,0,0,0,33.25,0,2.83,0,0
 24-34,0,0,2.77,1.27,0.65,0,0,0.77,0,0.86,0,0.66,0,0.6,0,0,0.81,8.02,0.66,0.69,0,57.4,0.97,1.11,0,2.17
 36-46,0,0,0,0,1.24,0,0,0,0,0,0,0.57,0,1.75,0,0,0.65,5.41,0,2.24,7.09,28.62,0,2.17,0,0
 48-58,0,0,0,0,4.24,0,2.58,0,0,0,0,0,0,1.13,0,0,0,8.46,0,0.86,0.6,21.31,0,3.46,0,0
 60-70,0,0,2.29,0,26.16,1.19,13.96,0,0,0,7.23,0.73,0,0,0,0,0,0,0,0,0.62,5.45,3.18,6.04,0,0
 72-82,0,0.75,3.04,0,23.3,0,30.35,0,0,0,18.14,0,0,5.22,0,0.75,0,2.12,0,1.69,1.97,10.54,0,7.62,0,0
 84-94,0,0,0,0,42.82,0,20.36,0,0,1.25,14.84,0,0,5.36,0.93,0,1.09,0,0,0,0.65,13.85,0,9.49,1,0
 96-106,0,0,2.9,0,40.71,0,32.41,0,0,0,6.5,1.33,0.7,8.29,0,1.18,0,2.13,0,0,1.16,10.95,0,11.96,0.56,0
108-118,0,0,4.73,0,66.72,0,45.46,0.84,0.8,0.9,33.83,0,0,0.71,0,0,0,4.66,0,0.55,3.89,7.45,0,8.55,0.51,0
120,0,0,5.37,0,34.9,0,25.92,2.68,0,0,33.04,0,0,2.6,0,0,0,2.25,0,0,2.3,3.53,0,3.71,1.84,0
