stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0,0,0
  5-6,0,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.36,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,0,0,0,0,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.69,11.32,0,0,8.27,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.25,3.9,0.99,3.39,0,2.84,0,0,8,0,3.95,0,0,1.01,3.89,0,0,6.72,270.66,7.49,3.68,4.92,0,10.88,1.34,0.84,0,1.88,115.61,0,0,2.99,0
 24-34,0,0,0,10.16,0.62,52.52,3.83,0,10.31,0.67,0,0,0,0,0,3.67,0,6.53,0.61,0,7.92,1272.22,0,7.25,9.39,0,0,0,0,0,1.34,201.11,0,0,6.78,0
 36-46,0,0,0,4.48,0,145.92,2.33,0.74,19.11,0,0,2.91,3.39,0,0,2.6,0,7.53,0,0.84,0,1785.42,0,0,11.25,0,9.7,0,0,0,0,295.82,0,0,11.63,0
 48-58,0.39,0,0,7.26,0,350.99,3.32,0.72,67.16,0,0,0,0.75,0,0,1.28,0,5.44,0,0.45,0.88,964.28,0,0,2.41,0,0,0,0.38,3.46,0,211.98,0,0,4.79,0
 60-70,0,0,0,0,0,305.84,0,0.84,22.18,0.68,0,1.09,4.52,0,0,0,0,15.71,0,0,0,396.14,0,0,10.39,0,0,0,0,0,0,46.57,0,0,1.06,0.81
 72-82,0,0,0.53,0,0,217.58,0.62,1.08,21.54,0.71,0,0,0.78,0,0.9,1.67,0,9.06,0,0,0.58,380.16,0,0.63,2.69,0,0,0,0,0,0,20.45,0,0,1.37,0
 84-94,0,0,0,0,0.7,232.95,0,2.62,32.46,1.21,0,0,2.39,1.6,2.52,4.79,0,9.09,0,0,0,279.06,0,1.16,9.02,0,1.72,0,0,0,0,26.2,2.24,0.64,4.9,0.77
 96-106,0,0,0.95,2.21,3.16,126.03,0,11.22,39.2,0,0,1,2.08,4.05,0,7,0,10.54,0,1.42,0,282.66,0,0,4.74,0,0,0,0,0,0,1.9,8.45,0,6.83,1.59
108-118,0,0,0,2.36,1.31,159.27,0.7,0,14.74,1.91,0,0,4.55,1.9,1.01,1.66,0,17.68,0,0,0,291.69,0,0.57,14.2,0,0,0,0,0,0,7.58,1.55,0,1.68,0
120,0,0,0,7.32,0,101.12,0,0,14.42,8.01,0,0,4.22,0,0,2.98,0,0,0,0,0,246.49,0,0,13.89,0,0,0,2.43,0,0,3.29,0,1.54,0,0
