stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,76.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,71.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,0,0,13.88,0,0,0,34.97,0,0,0,0,0,188.05,0,0,0,0,0,0,0,0,0,0,0,88.46,10.16,0,0,169.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,61.74,0,28.32,0,0,0,40.05,0,0,0,0,0,125.27,0,0,0,0,0,0,0,0,0,0,0,1630.43,26.36,0,0,317.28,0,0,4.94,0,0,0,14.9,0,0,0,0,0
 14-21,0,0,0,7.83,121.01,15.22,0,39.01,0,0,0,27.5,6.26,3.66,0.93,3.72,0,0,0,0,4.46,147.19,0,0,76.78,2353.54,0.85,0,2.05,8.6,0,0.89,3.43,85.24,1.79,9.53,68.49,401.39,0,3.17,0,1.22
 24-34,0,0,0,12.14,62.42,3.56,0,95.38,0,1.01,0,28.1,10.69,0,2.98,6.39,1.03,4.74,1.32,7.7,3.55,259.15,0,0.89,73.16,3132.41,1.43,6.63,3.39,0,0,6.52,0,1.03,2.29,0,23.33,591.9,0,21.2,0,10.8
 36-46,0,0,0,0,9.38,4.05,0,823.6,0,0,0,45.27,7.41,0,1.5,7.01,0,17.02,1.82,13.47,16.63,193.62,0,2.85,23.88,2091.94,0,0.91,8.71,0,2.85,1.81,0.73,0,2.56,0,1.38,611.68,0.62,22.85,0,10.35
 48-58,0,0,0.87,0,11.69,0,0,2420.41,0,0.63,3.92,98.59,7.04,0,1.14,11.32,0,1.77,0,1.26,16.76,171.72,0.47,1.16,17.04,979.73,6.42,0,1.81,0,0.95,15.56,0,0,14.21,0.42,0,168.22,2.14,13.72,0.5,34.74
 60-70,0,0,0.86,0,6.49,0,0,2234.04,0,0.62,2.88,89.34,5.07,1.21,0,28.51,0,1.19,0.66,9.57,16.55,138.31,0,0,7,297.61,0,2.66,9.57,0,3.41,4.19,0,0,6.25,0,0,49.94,3.06,16.05,0.64,28.73
 72-82,0,0,8.91,0,12.47,1,0,1144.07,3.33,0,7.08,118.91,5.67,0,3.23,20.55,0,0,4.03,7.43,7.29,222.2,1.52,1.26,13.3,211.14,0,1.96,4.41,0,1.61,3.15,0,0,0.5,0,0,32.63,3.81,19.54,3.23,25.41
 84-94,0,0,3.27,0,10.52,1.32,0,1120.39,0,0,6.07,93.41,15.46,0,4.61,30.93,0,3.11,1.6,17.97,3.38,176.49,0,0,14.08,106.96,0,0.83,7.48,0,0,1.49,0,0,1.52,0,0,22.14,4.81,17.5,11.96,18.22
 96-106,0,0,6.24,0,12.53,21.81,1.07,787.64,0.7,1.79,2.18,123.64,24.46,0,0,41.01,0,4.08,1.02,6.69,5.94,183.21,1.61,7.87,5.07,127.87,0,0,7.74,0,0,11.45,0,0,0,0,0,7.86,3.78,23.11,2,23.44
108-118,0,0,6.27,0.74,13.33,1.12,0.5,660.31,0.56,0.91,1.82,167.22,24.82,0,1.9,22.67,0.48,5.09,0,16.76,11.06,192.81,0,1.9,16.19,146.98,0,1.5,11.82,0,4.86,7.48,0,0,0.87,0,0,7.52,4.13,12.47,4.97,13.73
120,0,0,3.99,0,17.47,1.41,1.62,487.56,1.14,10.7,10.08,181.69,34.22,0,0,46.98,0,0,1.88,1.42,0,99.5,0,5.66,2,186,0,1.32,7.19,0,11,19.4,0,0,2.71,0,0,15.41,0,2,2.27,11.33
