stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,mesenchyme,mural.cell,neural,olfactory,periderm,pronephros,spinal.cord
  3-4,21.95,70.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,96.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.2,0,23.54,0,0,0,0,0,0,0,23.81,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.71,0,0,0,23.35,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0
 48-58,0,0,0,0,0.71,0,0,0,0,0,0,0,0.66,0,0,0,1.9
 60-70,0,0,0,0,0,1.33,0,0,0,0,0,0,2.53,0,0.71,0,0
 72-82,0,0,0,0,2.58,0,1.91,0,0,0,0,0,1.81,1.22,0,0,0
 84-94,0,0,0,0,1.44,0,0,0,0,0,0.9,0,4.05,0.77,0,0,0
 96-106,0,0,0,0,0,1.07,0,0,0,0,0,0,1.18,0,0,0,0
108-118,0,0,0,0,0,0,0,2.9,0,0,0,2.2,1.57,0,1.39,0.45,0
120,0,0,0,1.16,0,4.82,0,1.33,0,0,8.63,0,0,0,0,0,0
