stage,blastomeres,epidermis,eye,fin_epithelia,glial,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
 10-12,3.64,0,0,0,0,0,0,0,9.91,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.08,0,0,12.48,0,0,0,0,0,0
 24-34,0,0,0.74,0,0,0,0,0,7.07,0.87,0,1.73,0,0,0
 36-46,0,0,1.67,0,0,0,0,0.86,3.74,0,0,0,0,0,0
 48-58,0,0,0.8,0,0,0,0,0,4.66,0,0,0.42,0,1.62,0
 60-70,0,0,4.42,0,0,0,5.53,0.77,15.47,0,0,0,0,0.95,3.52
 72-82,0,0,1.32,0,0.61,0,1.01,0,0,0,0.99,0,0,0.85,0
 84-94,0,0.9,3.01,0,0.9,0,0,0,4.49,0,0,2.3,0,0,0
 96-106,0,0,0,1.03,2.02,0,1.1,0,1.2,0,0,1.74,0.61,0,0
108-118,0,0,0,0,0,0,0,0,14.85,0,0,0,0.42,0,0
120,0,0,10.38,0,0,0,0,0,26.18,0,0,1,0,0,0
