stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,199.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,108.6,0,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,8.81,0,0,0,0
  7-9,0,0,9.14,0,0,0,0,0,0,0,0,0,0,58.37,0,0,4.06,0,0,0,0,0
 10-12,0,0,26.42,0,0,0,0,0,0,0,0,0,0,35.39,0,0,0,0,0,0,0,0
 14-21,0,0,1.19,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0.9,0,0.84,1.17,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.15,0,0.92,11.44,0,2.8,0,0.76,0,3.33,0,1.1
 36-46,0,0,4.12,0,1.51,0,0,0,0,0,0.78,0,0,15.87,0,0,0,1.2,0,0,6.01,0
 48-58,0,0,0.4,0.75,2.58,0,0,0,0,0,0.65,0,0,3.94,0,0,0,0,0,0.66,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65,0,0,0,1.41,0,1.28,0,0
 72-82,0,0,9.79,0,0,0,0,0,0,0,0.53,0,0,8.79,0,0,0,3.14,0,0,0.62,0
 84-94,0,0,0.59,0,0,0,0,0,0,0,0,2.13,0,9.77,0,0,0,4.93,0,2.39,0,0
 96-106,0,0,9.48,0,0,1.31,0.65,0,0,0,0,0,0,6.28,0,0,0,8.74,0,0,0,0
108-118,0,1.52,12.81,0,0,0,0,0,0,0.84,2.16,0,0,3.86,0,0,0,17.85,0,0,0,1.28
120,0,0,0,0,7.56,0,0,2.51,7.04,0,0,0,0,4.12,0,0,0,24.16,0,0,0,0
