stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,96.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,437.81,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,18.24,0,0,0,0,6.6,0,0,0,0,0,0,0
  7-9,13.75,0,5.12,0,0,8.54,0,0,0,0,21.94,0,0,0,0,0,0,0,200.17,16.64,0,0,52.61,0,0,0,0,0,0,0,0
 10-12,0,12.26,6.57,0,0,6.87,0,0,0,0,5.54,0,0,0,0,0,0,0,185.52,3.39,0,0,49.23,0,9.34,0,0,3.87,0,0,0
 14-21,0,0,0,6.28,0.85,1.92,0,0,2.5,0,0,0,0,0,0,1.02,0,0,17.96,0,0,0,0,1.11,0,6.15,0.88,3.7,7.44,0,0
 24-34,0,0,0,0.67,0.81,7.64,0,0,0,0,0,0,0,0,0,6.08,0,1.45,51.08,0,0,0.61,0,4.97,0,0,1.97,2.02,4.84,0,4.04
 36-46,0,0,0,0,0,6.5,0,0,4.54,0,0,0,0,0,0.66,5.09,0,0.67,16.92,0,0,0,0,0,0,0,0,0,6.15,0,0
 48-58,0,0,0,0.41,0,6.2,0,0,4.6,0,0,0,1.42,0,0,5.87,0,1.01,23.93,0,0,1.61,0,0,0,0,0,0,5,0,0
 60-70,0,0,0,0.58,0,8.74,0,0,5.52,0,0,0.78,0,0,0,5.46,0,0.82,7.45,0,0,0,0,2.58,0,0,0,0,4.12,0,0
 72-82,0,0,0,0.66,0,1.12,0,1.28,1.07,0.57,0,0,0,0,0,4.53,1.35,0,25.41,0,1.11,0,0,0.69,0,0,0,0,0,0,1
 84-94,0,0,0,5.62,0,19.83,0.69,0,1.04,0,0,0,0,0,0,10.03,0,0,9.78,0,0,0,0,2.05,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.29,0,0,0,0,0,0,0,1.05,0,3.52,0,2.94,4.86,0,0,0,0,2.11,0,0,0,0,0,0,2.74
108-118,0,0,0,1.02,0,2.38,0,1.17,0.73,1.06,0,0,0,0,0.69,9.88,0.98,0.63,7.02,0,0,0.71,0,0.69,0,0,0,0,0,0,1.08
120,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,20.86,0,0,6,6.44,0,4.43,0,2.07,0,0,0,0,0,5.4,2.22
