stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,2.62,23.66,0,0,6.62,1.08,5.38,1.02,0,0
 24-34,0,0,0,0.67,0,0,0,0,0,0,1.33,8.06,0,0,0,5.94,0.74,4.2,0,0.76,0,1.73,0,0
 36-46,0,0,0,0,0,0,0.78,0,0,0,0,6.78,0,0,0,2.04,0,1.66,0,0,0,0.68,0,0
 48-58,0,0,0,0.99,0,0,0,0.62,0,0.84,0,7.48,1.76,0,0,11.78,1.36,1.01,0,0,0,0,0.44,0
 60-70,0,13.45,0,9.4,0,0,0,0,0,0.58,0.68,8.14,0,0,0,7.85,0,0,0,0,0,2.49,0,0
 72-82,0,0,1.22,3.52,0,3.46,4.87,1.33,0,0,0,7.23,0.5,0,0,3.1,0,4.46,0,0,0,0,0,0
 84-94,0,1.1,0,0,0,0,0,0,1.01,0,0,5.61,0,0,0,1.45,0,2.28,0,1.22,0,0,0,0.77
 96-106,0,0.71,0.97,0,0.58,0,0,0,0,0,3.15,2.57,0,0,1.09,1.19,0,1.28,0,0,0,0,1.92,0
108-118,0,2.86,0,3.49,0.54,0,0.84,1.2,0.45,0,1.66,4.52,0,0.71,0,2.2,0,1.3,0,0,0,0,0,0
120,0,5.17,0,0,0,0,0,9.53,0,0,2.28,2.62,0,0,0,1.11,6.31,2.32,0,0,0,0,0,0
