stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord,vasculature
  5-6,11.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.82,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.73,0,0
 14-21,0,0,0,0,0,0,0,5.19,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.87,0,0,0.66,0
 48-58,0,0,0,0,0.87,0,0.45,2.42,0.42,0,0,0
 60-70,0,0,0,0.64,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.83,0,2.53,0,0,0,0
 84-94,0,0,0,0,0,0.75,0,0,0,0,0,0
 96-106,0,0,0,0,0,13.06,0,0,0,0,0,2.65
108-118,0,3.33,0,0,0,34.71,1.44,5.64,0,0,0,1.41
120,0,0,1.88,0,0,91.14,1.08,0,0,0,0,47.11
