stage,epidermis,fin_epithelia,olfactory,otic,periderm
 24-34,0.64,0,0,0,0
 36-46,0,10.7,0,0,0
 48-58,0,0,2.08,3.77,0
 60-70,0,0,0,0,7.26
 84-94,0,0,0,1.05,0.8
108-118,0,0,0,0,2.13
120,2.64,0,0,3.14,0
