stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,5.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.42,0,0,0,0,0,0,10.53,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,7.6,0,0,0,0,0
 24-34,0,0,0,0.79,1.55,0,0,0,0,0.72,0,0,3.65,0,0,0,0,0.67,0,0,0,213.84,0,0,0,0,0,0,0,43.02,0,0,0,0,0
 36-46,0,1.03,0,3.82,0.64,12.78,0,1.39,0,0,0,0,0,0,0,0,0,0.87,0,0,0.63,702.4,0,1.21,0,0,0,1.19,0,110.93,0,0,0,0,0
 48-58,0,0,0,6.32,2.12,47.99,0,0,0,22.59,0,6.36,0,0,0,0,1.1,4.39,0,0.38,1.17,1647.63,0,0.41,0,0,0,0,0,105.62,0,0,1.56,0,0
 60-70,0,0,0,0,0,200,2.14,0,0,18.73,0,0,5.75,7.23,1.16,0,0,22.42,0,0,0,3129.81,1.36,0,0.9,0,0,3.24,0,186.04,0,0,3.93,0,0
 72-82,0,1.59,0,3.98,1.75,484.26,2.62,0,0,15.9,1.2,0,1.09,0,0.68,0,2.16,24.9,0,0,0,4060.19,0,1.41,1.06,0,0,0.72,0,151.15,0,3.83,4.77,0.72,5.3
 84-94,0,0,0,8.09,3.83,373.23,0,2.57,2.75,18.84,0,0,0,0,0,0,0,39.85,1.82,0,0,2334.44,0,0,0,0,0,3.58,0,68.01,0,0,0,1.09,0
 96-106,0,0,0,16.74,10.6,360.87,1.42,0,0.64,30.17,0,1.28,0,8.61,0,10.62,0,40.76,3.31,0,0.92,2229.94,0,0,0.95,0,1.44,2.2,0.6,44.91,0,0,2.02,0,26.36
108-118,0,0.57,0,19.45,1.09,343.18,0,0,1.53,29.4,0,0,0,0,0,0,0,24.99,1.14,0,0,2168.59,0,0,1.28,0,0,1.57,0,49.74,1.56,0,2.88,0,4.52
120,0,0,0,15.93,25.96,511.79,0,17.64,0,17.82,0,4.22,0,0,0,0,0,35.47,0,0,0,3718.11,13.68,14.86,0,0,0,4.46,3.56,67.55,0,0,0,0,14.51
