stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.56,123.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.46,73.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.95,6.38,0,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.16,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,60.39,1.65,1.74,0,0,0,0,0,0.94,0,0,1.19,11.42,0,0,0,0,0
 24-34,0,0,0,0,1.93,0,18.51,0,0.89,0,0.91,0,0.76,0,0.61,0,0.82,0,0.8,5.39,0,0,2.32,156.62,0,4.31,0,0,0,1.58,1.06,0,0,0,0,33.5,0,0,5.25,0,1.3
 36-46,0,0,0,0,0,0,23.82,0,0,0.64,8.2,0,0,1.52,0,0,1.61,5.5,0,14.16,0,0,4.77,112.24,0,0,0.57,0,0.97,0.77,0,0,0,0,0,29.2,0,0,1.01,0,0.72
 48-58,0,0,0,0,4.96,0,70.05,0,0.74,0.42,13.97,0,0,0,0.53,0,0,0,2,7.75,0,0.89,2.07,109.82,0,0.85,0,0,0,0,0,0,0,0,0,9.37,0,0,1.29,0,0
 60-70,0,0,0,0,1.38,0,122.18,0,0,0.81,32.96,0.61,0,0,0,1.14,0,0,0,33.7,0,2.22,1.13,89.45,3.78,0,0,0,0,2.97,0,0,5.04,1,0,9.89,0,0,2.16,0,11.51
 72-82,0,0,0,0,4.98,0,56.02,1.11,2.19,0.57,47.87,0,2.73,0,0.53,0,2.57,0,1.79,39.73,2.04,3.82,4.79,126.33,0,2.85,2.54,0,0,7.22,0,0,0,1.04,0,8.02,1.58,0,4.17,2.12,4.13
 84-94,0,0,0,0,13.23,0,37,0,0.57,0.75,31,1.12,0,0.56,2.22,0.79,0.66,3.72,0,23.68,0,1.75,6.7,41.58,0.57,2.87,4.25,0,0,3.03,0,0,0,0.66,0,4.83,0.6,0,0.76,1.73,0
 96-106,0,0,0.9,0,6.59,0,19.49,0,1.33,1.04,34.26,3.43,0,5.51,2.51,1.46,5.36,1.95,0,53.17,0,1.59,3.92,80.24,0,3.47,5.13,0,0,6.4,0,0,0.57,0,0,6.24,2.38,0.72,4.61,0,0
108-118,0,0,0,0.74,19.41,3.81,24.74,0,1.8,2.91,37.75,3.35,0,10.56,1.74,3.32,0.53,3.34,4.72,34.13,0,0,1.52,113.09,0.47,0,1.43,0,0,2.16,0,0,0,0.51,0,1.03,2.57,2.66,1.03,0.73,1.78
120,0,0,0,0,10.87,0,68.55,0,2.12,0,94.77,3.29,0,18.03,4.52,0,1.77,3.42,0,84.18,0,3.51,1.82,228.82,0,0,8.07,0,0,18,0,0,0,0,0,0,1.99,2.09,20.99,0,0
