stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,327.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.45,475.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.03,0,0,0,10.37,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.54,33.08,13.6,0,0,0,132.99,0,0,0,0,0,45.25,0,0,0,0,0,0,0,0,0,0,714.03,23.05,0,0,249.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,65.64,89.01,0,24.19,0,96.75,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,1281.94,92.2,0,0,440.94,0,5.62,56.05,0,5.96,0,0,0,0,0,0
 14-21,0,0,0,5.62,0.82,0,4.14,0,0,0,1.19,0,0,0,0,0,0,0,0,5.24,0,0,11.42,90.29,2.49,0,14.21,0.88,0,15.64,0,0,11.51,20.72,0,0,0.93,0,0
 24-34,0,0,0,3.12,0,0,30.63,0,0,0,0,0,0,0.98,0,0,0,0,0,10.82,0,0,2.33,204.48,3.42,2.89,1,0,5.94,0,0.65,0,1.86,23.55,0,0,1.38,0,0
 36-46,0,0,0,0,0,0,20.1,0,0,0,11.32,0,0,0,0,0,0,0,2.23,10.05,0,0,1.49,170.75,6.18,1.55,0,0,0,0,0,0,0,18.19,0,0,0,0,0
 48-58,0,0,0,0.52,0,0,21.34,1.51,0,0,7.91,3.33,0,0,1.53,0,0,0,0,16.75,0.57,0,5.34,97.63,7.26,3.12,0,0,0,0,0,0.46,2.82,11.78,0,0,0,0,0
 60-70,0,0,0,1.43,1.51,0,19.85,0.7,0.68,0,7.84,4.03,0,0,0,4.4,0,2.56,5.25,5.88,0,0.59,0.8,66.13,0,5.6,1.82,0,0,0,3.95,0,0,4.31,0,0,0,0,0
 72-82,0,0,0,3.68,13.58,0,61.75,0,0,0.51,13.73,0,0,0,1.81,0,0,0,0,14.26,0,1.3,4.07,50.06,0.5,6.08,0,0,2.29,0,0,0,0,2.96,0,0,6.91,0,0
 84-94,0,0,0,6.17,6.44,1.17,20.68,7.04,1.26,0.64,2.3,2.49,0,1.44,0,0,0,0,1.17,24.6,0,0,0,45.2,0,8.11,2.48,0,0,0,0.74,0,0,0,0,0.98,0,0,0
 96-106,0,0,0,0.89,9.84,0,24.67,0,0,1.54,10.17,0.73,0,0,0.58,0,0,1.2,0,11.53,0,0,3.07,24.08,0,3.84,0,0,1.13,0,0,0,0,0,1.13,0,0,0,4.75
108-118,0,0,0,2.3,10.01,0.58,37.44,0,0.42,2.46,13.93,2.52,0,0,3.46,1.9,0,0.49,2.4,18.52,0,0,6.39,49.95,0,5.38,2.39,0,2.77,0,0,0,0,6.59,0,0,0,1.65,0
120,0,0,0,12.84,28.62,0,27.78,0,0,3.89,33.44,4.22,0,4.21,0,0,1.91,5.75,0,23.16,0,0,11.38,183.09,0,23.2,5.83,0,5.95,0,2.05,0,0,0,1.94,0,3.93,0,0
