stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.05,123.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.48,142.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,29.83,0,0,0,0,0,0,0,0,33.64,0,0,0,0,0,0,0,0,0,174.69,0,0,0,121.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.28,40.81,0,0,16.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.74,5.8,0,0,124.56,0,0,0,0,9.66,4.33,0,0,0,0,0
 14-21,0,0,0,4.73,5.7,3.09,0,0,0,3.78,0.83,0,0,0,0,0,0,3.71,0,0,2.82,72.43,0,1.13,0,0,1.46,21.95,1.56,3.33,10.35,11.44,0,0,2,0,0
 24-34,0.88,0,0.61,8.77,1.83,23.56,0,0,0.74,2.66,0,0,0,9.7,0,0,1.58,21.02,1.16,0,2.28,218.12,0,3.67,3.71,0,11.62,0,5.1,1.26,3.15,40.46,0,0,6.47,0,3.7
 36-46,0,0,0,0.82,0,42.05,0,0,0,3.79,0,0,0.67,2.65,1.49,6.58,1.57,8.13,0,0,4.85,181.41,0,1.95,0,0,28.31,0,0,0,0,31.17,0,0,2.61,0,6.57
 48-58,0,0,0,0,0,90.1,2.01,1.04,0,5.47,0.5,0,0.4,2.21,0,0.99,0,6.39,0,0,2.27,87.03,0,0.39,0,0,10.42,0,1.57,1.46,0,9.48,0,0,0,0,5.73
 60-70,0,0,0,1.69,0,76.01,6.04,0,0,9.53,6.93,0,1.14,0,0,5.2,0,14.51,0,1.2,0,80.04,0,0,1.2,0,2.29,0,3.87,7.62,0,2.96,0,0.8,1.11,0,0
 72-82,0,0,0,4.51,0,49.14,0,0,1.53,11.94,4.98,0,1.51,6.35,0,0,0,1.23,0,5.47,2.46,30.4,0,1.21,0,0,3.49,0,1.57,0,0,15.01,1.34,0,0,0,3.13
 84-94,0,0,0,0.57,0,23.05,0,0,0,5.87,9.71,0,2.25,5.9,0.76,6.82,5.75,0.77,0,0,2.78,37.49,0,0,0,0,5.92,0,0,0,0,0.61,0,0,0.67,0.68,16.58
 96-106,0,0,0,4.37,3.22,40.25,0,0.86,0,16.67,4.89,0,0,3.13,0.82,16.19,0,3.19,0,0,1.08,4.58,0.57,4.88,1.09,0,1.91,0,2.22,0,0,0,0,0.66,4.05,0.91,0
108-118,0,0,0,4.81,1.05,15.98,0,1.29,0,0,6.3,0,0,1.53,0,11.7,0,4.78,1.27,0,1.01,33.45,0,0.7,2.55,0,1.49,0,3.24,0.5,0,0,0.9,0,0.66,0,0
120,0,0,0,16.4,0,20.3,2.29,0,0,18.23,3.87,0,1.06,0,0,4.47,1.6,0,0,0,2.34,35.22,0,2.97,2.78,0,4.91,0,0,0,0,0,0,0,0,0,0
