stage,eye,glial,immune,liver,mesenchyme,muscle,neural,notochord,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,11.2,0,0,0,0
 24-34,0,0,12.07,0,0,0,1.44,0,0,0,0.93
 36-46,0.67,0,17.19,0,0,0,0,0,0,0,3.99
 48-58,6.66,0,12.44,4.78,0,0.62,0,0,0.8,2.48,1.62
 60-70,0,0,12.91,0,0,0,0,0,0,0,0
 72-82,0,0.56,8.73,0,1.05,0,0.99,0,1.51,0,0
 84-94,3.43,0,20.26,0,0.75,0,10.95,2.69,2.93,0,1.92
 96-106,0,0,33.61,0,0,0,0,0,6.56,0,0
108-118,0,0,33.21,0,0,0,2.72,0,6.53,0,0.45
120,0,0,39.04,0,0,0,1.35,0,2.27,0,0
