stage,blastomeres,epidermis,fin.epithelia,gut,immune,mesenchyme,mural.cell,muscle,neural,notochord,periderm,spinal.cord,taste,vasculature
  3-4,27.58,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.09
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33
 48-58,0,0,0,0,0,2.65,0,0,0,0,0,0,0,4.61
 60-70,0,0,0,0,0,0,0,3.13,0,0,1.32,0,0,5.71
 72-82,0,0,0,0,0,0,1.28,0,0.88,0,0,0,0.87,11.13
 84-94,0,0,0,0.84,0,0,0,0,0,0,0.7,0,0,52.88
 96-106,0,0,0,0,0.71,7.63,0,0,2.01,0,0,0,0,28.48
108-118,0,0.83,0.6,0,0,0,0,0,2.14,0,0,0,0,79.85
120,0,0,0,0,0,0,0,0,0,0,0,0,0,121.51
