stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,188.58,5689.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10451.97,0,0,0,0,0,0,0,0,0,0
  5-6,339.73,3402.03,0,0,0,0,0,0,0,0,0,0,32.01,0,0,0,0,0,0,0,0,0,0,192.53,42.67,0,0,32.1,0,14139.43,0,0,0,0,0,0,0,0,0,0
  7-9,5.6,0,8.97,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.33,0,0,0,20.31,0,123.01,15.32,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.1,0,0,0,5.44,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,83.77,25.95,0,0,32.79,0,10.45,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.91,0.83,0,7.62,0,0,0,0,0,0,0,0,1.63,0,0,0,0,1.27,0,2.91,22.87,0,0,0,0,0,2.06,0,23.28,32.34,233.25,2.84,0,0,0,0,0
 24-34,0,0,0,0,0,0,17.63,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.83,18.19,0,1.27,0,0,0,1.53,0,0,0,17.61,1.62,0,0,1.26,0,0
 36-46,0,0,0,0,0,0,122.75,1.33,4.46,0,0,0,0,1.71,0,3.45,0,0,0,0,0.84,0,0,40.08,0,0.75,0,0,0,0,0,0,0,0,6.72,0,0,0.87,0,0
 48-58,0,0,0,1.15,0,0,929.2,0.98,0,0,2.2,0,0,0,0,0,0,0,0,0,3.03,0,3.53,82.54,0,0,0,0,0,4.18,0,0,0,0,34.35,0,0,2.48,0,0
 60-70,0,0,0,0,0,0,3539.76,0,3.15,0,2.15,0,0,0,0,1.14,0,0,0,2.64,8.47,1.6,0.68,91.57,0,0,0,0,0,0,0,0,0,0,1.36,1.67,0,0,0,4.09
 72-82,0,0,0,4.54,4.33,0,3402.54,0,0,0,4.2,1.28,0,0,0,0,0,0,0,0,30.32,0,0.5,80.49,0,0,2.21,0,0,5.29,0,0,0,0,22.18,0,0,4.95,0,8.57
 84-94,0,0,0,13.56,16.04,0.62,3799.15,1,0.62,0,15.6,0.61,0,0,1.25,0,0.62,1.05,0,7.23,25.68,0,3.86,94.28,0.62,2.62,0,0,0,0.62,0,0,0,0,15.89,0,0,0.66,0.78,0
 96-106,0,0,0,2.61,28.4,0,2683.31,0,0,0.89,8,0,0,0,2.01,0,0.66,0,0.81,0,19.53,1.69,5.27,82.33,1.43,1.24,0,0,0,16.87,0,0,0,0,1.43,0,3.44,3.36,0,9.14
108-118,0,0,0,12.3,12.7,3.32,2122.07,3.45,1.06,6.32,11.93,0.43,0,0,1.33,1,0,0,11.51,2.16,33.73,0,3,101.83,0.47,1.84,0,0,3.39,4.7,0,0,0,0,8.12,0,2.27,7.36,2.32,0
120,0,0,0,9.96,3.56,0,1693.95,0,3.99,4.69,7.14,0,0,0,0,2.86,0,0,17.97,0,29.9,0,1.91,225.12,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0
