stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,106.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,87.24,0,0,0,68.8,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,23.28,1.23,1.09,0,0,0,0,0,0,3.16,0,2.31,0.88,0,0,0,1.63,0,1.06,1.03,0,1.06,0,0,0
 24-34,0,0.64,0.83,0.68,0.68,0,0,0,1.39,0,6.42,0,0,8.99,1.07,0,0,0,0,0,0.91,1.31,1.14,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,11.7,0.8,1.54,10.94,0,1.91,1.22,0,0,0,0,0,0,0,0.9,0
 48-58,0,0,0,0.71,0.55,0,0,0,0,1.66,33.09,2.05,0.52,1.43,0,0,0,0,0,0,0,0,1.22,0,2.98,0
 60-70,0,1.05,0,0,0,0,0,7,0,0,24.31,0.78,0,1.56,0,0,0,0,0,0,0,0,0,0.57,2.16,0
 72-82,0,0,0,0.55,0.77,1.1,0,0,0,0,15.38,4.32,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.26,0,0,1.32,0,0,0,0,0,11.93,2.07,4.06,0,0,0,0,0,4.04,0,0,0,0,0.68,0,0
 96-106,0,2.47,0,0,0,1.63,1.14,0,0,0,18.01,0,1.2,1.4,0,0,0,0,0,0,0,0,0,0,4.26,0
108-118,0,0,0,0,0,0,0,0,0.87,0,9.97,0.83,0,4.94,0,0,1.05,0,0,0,0,0,0.92,0,1.98,0
120,0,0,0,0,1.98,0,0,0,0,0,18.46,0,0,0,0,0,0,0,0,0,0,0,0,5.74,0,4.27
