stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,180.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12,0,0,0,0,0,0,0,0,0,0
  5-6,48.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,12.66,0,0,0,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.77,17.77,0,0,6.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.14,7.26,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.93,0.86,24.51,1.68,0,0,0,0.83,0,0.81,0.82,2.29,0.96,0,2,0,0,0,4.17,0,0,1.84,35.4,21.44,0,2.84,1.12,0,49.91,0,5.23,0,0,14.15,0,0,3.53,0,0
 24-34,0,2.65,1.03,12.07,1.84,0,8.52,0,2.8,1.71,5.41,0.67,0,0,0,4.12,0,1.62,0,7.99,0.91,0,3.72,87.4,2.18,6.37,2.26,0,0,71.59,0,0,3.15,0,17.23,0,0,0.84,0,0
 36-46,0,0,0,3.43,0,0,13.38,0,0,2.8,5.29,0,0,0,0,0,0,0.77,0,2.52,0,0.63,1.1,122.18,1.31,18.23,0,0,0,104.43,0,0,0,0,28.24,0,0,0,0,1.94
 48-58,0,0.59,0,3.91,0,0,46.17,0,0,1.74,31.04,0,3.01,0,0,13.77,0,5.52,2.5,19.95,0.37,0.91,3.18,194.38,0,8.74,2.7,0,0,82.38,0.65,0,1.22,0,54.73,0,0,0.99,0,8.85
 60-70,0,0.57,0,13.41,0,0,130.31,2,5.85,0,51.52,0.64,0,0,0,1.4,3.59,0,1.41,22.92,0,0,0.65,193.38,1.7,1.44,1.87,0,0,79.34,0,1.38,0.6,0,47.88,0,1.31,0.72,0.83,0
 72-82,0,0,0,15.52,0.52,2.2,150.05,4.55,3.52,1.3,45.3,6.84,0,0,0,0.54,0,4.16,0,30.11,1.2,1.76,0.5,156.17,1.1,5.63,4.23,0,0,40.84,0,0,0,0,21.48,5.61,0,2.62,3.1,0
 84-94,0,1.74,0,14.25,6.61,0.58,145.94,0,1.53,1.82,30.05,4.73,0.91,0,0.64,4.9,0,4.33,2.03,20.08,3.05,2.66,0.91,111.35,0,4.03,3.08,0,0,151.33,0,0,1.35,0.6,13.42,1.37,0,2.13,0,0
 96-106,0,3.1,0,15.99,6.94,0.58,91.39,0,0,2.5,22.24,9.1,0,0,0,4.3,0,0.75,0,31.21,3.88,3.47,0,105.24,0,13.84,1.33,0,1.51,115.32,0,0,0,0,2.43,0.67,0,6.13,6.11,0
108-118,0,1.21,0,21.71,0,2.37,92.13,0,9.43,0.53,18.85,2.37,0,0,0.56,5.69,0,2.45,0,18.04,3.25,6.84,2.88,147.88,0,2.67,2.81,0,0,80.08,0,0,0.59,0.43,6.21,3.02,1.17,12.89,0,0
120,0,6.47,0,40.5,1,0,112.29,0,5.1,0,35.08,23.12,0,0,0,1.67,0,1.54,0,13.48,1.1,0,0,169.48,0,4.57,5.93,0,0,60.4,0,0,0,0,4.78,0,0,0,9.69,0
