stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,43.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0,0,0
 10-12,0,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,6.18,0,0,3.04,0,0,0,0,0,0
 14-21,0,0,1.15,3.18,0.87,0,1.1,1.21,0,0,0,0,0,3.15,0,0,10.97,0,0,0,0,0,1.4,1.82,0.91,0,0
 24-34,0,0,0,0,2.06,0,0,0,0,0,0,0,0,3.37,0,2.15,40.68,0,0,0,0,1.58,0,0,7.61,3.67,0.69
 36-46,0,0,1.92,0,1.41,0,1.18,0,0,0,0,0,0,4.72,0,1.11,44.11,0,0,0,0,5.58,0,0,8.01,4.03,0
 48-58,0,0,0,0,0.43,0.67,1.21,0,0,0,0,0,0,5.53,0,0.99,28.28,0,0,0,0,3.45,0,0,2.77,0.38,0
 60-70,0,0,0,0,4.66,0,0,0,0,0,0,0,0,3.18,0,0,37.1,0,0,0,0,1.13,0,0,13.69,1.85,0
 72-82,0,0,0,0,9.5,0,1.67,0,0,0,0,0,0,8.28,1.04,0,62.3,0,0,0,0,2.3,0,0,9.44,5.23,0
 84-94,0,0,0.65,0,12.4,0,2,1.29,0,0,0,0,0.83,7.02,2.81,0,52.85,0,0,0.56,0,4.35,0,0,17.12,2.64,0
 96-106,0,0,0,6.46,3.36,0,3.5,0,0.8,0,0,0,1.15,7.78,0,0,45.17,0,0,0,0,7.68,0,0,5,0,0
108-118,0,0,3,0,8.75,0,1.47,0,0,4.4,0.45,0.89,0,12.53,5.12,0.81,74.49,0,1.95,0,0,7.74,0,0,1.4,1.86,0
120,0,0,0,0,0,24.43,20.77,0,0,0,1.36,0,0,1.99,6.89,0,39.76,0,0,0,0,4.21,0,0,18.55,15.64,0
