stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,neural,paraxial.mesoderm,pericytes,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,34.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,82.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.18,10.77,0,0,0,23.37,0,0,4.61,0,0,0,0,75.91,15,0,0,0,0,0,0
 10-12,0,0,9,0,0,14.07,0,0,0,0,0,0,0,71.09,30.69,0,0,0,0,0,0
 14-21,0,0,0,1.52,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,9.94,0.62,0,0,9.4,0,0,0,3.18,0,0,0
 36-46,0,0,0,0,0,1.21,0,0,0,20.75,0,0.86,0,0.92,0,0,0.69,0,0,0,3.09
 48-58,0,0,0,0,0,1.03,1.03,0,0,19.63,0,0,0,5.24,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.6,0,0,0,41.8,0,0,0.84,1.72,0,0,0,4.82,0.65,0.7,0
 72-82,0,0,0,0,3.83,2.41,0,0,0,34.15,0,0,2.73,3.15,0,2.85,0,0,0,0.56,0
 84-94,0,0,0,0,11.22,2.3,0,0,0,41.83,0,0,0,0.66,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.34,3.1,0,0,0,46.59,0.83,0,5.05,4.79,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.45,0,46.84,0,0,0,2.68,0,0,0,0,0,0.85,0
120,0,0,0,0,1.38,0,0,0,0,73.85,0,0,0,0,0,0,0,0,0,1.23,0
