stage,eye,fin.mesenchyme,glial,iridophores,mesenchyme,muscle,neural,olfactory,periderm,pronephros
 24-34,0.75,0,0,0,0,1.94,4.02,0.87,0,0
 36-46,0.57,0,0,0,0,0,17.92,0,0,0
 48-58,1.75,0,0,0,0,0,0.47,0,0,0
 60-70,0.65,0,0,0,0.82,0,5.85,0,4.92,0
 72-82,1.92,0,0,0.64,0,0,0,0.49,0,0
 84-94,0,0,2.04,0,0,0,4.99,0,0,1.84
 96-106,0,0,0,0,0.71,0,1.25,0,0,0
108-118,0,0.71,3.6,0,0,0,0,4.93,0.86,0
120,0,0,0,0,2.05,0,5.58,4.09,0,0
