stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,7.66,0,0,0,13.57,0,0,0,0,0,0,0,0,0,5.48,0,0,0,17.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.87,2.71,0.88,2.06,0,0,0,0,0.84,0,0,1.53,0.94,19.11,0,0,0,0,0,0,1.96,0,2.72,3.77,6.66,0,0,0,0
 24-34,0,0,0,0,1.39,0,0,0,0,0,0,0,3.16,0,17.45,0,0,0,0,0,0,0,0,0,0,3.15,0,4.11,0,0
 36-46,0,0,2.73,0,9.64,0,0,0,0,0,0,0,6.59,0.56,24.22,2.79,0,0,0,0,0.77,0,0,0,0,0.65,0,0,0,0.82
 48-58,0,0,0,0,9.34,0,0,0,8.27,1.42,0,0,2.21,0,7.6,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0
 60-70,0,0,3.01,0,7.16,0,0,1.04,5.02,0,0,0,6.14,1.7,15.64,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,5.74
 72-82,0,0,0,0,4.34,0,0.81,0,2.9,0,3.64,6.35,9.7,0.59,14.71,0,1.09,0,0,0.72,2.3,0,0,0,0,0,0,0.68,0,0
 84-94,0,0,1.57,0,4.33,0,0.78,0,0,4.44,0,0,0,0,1.82,0,0,0.84,0,0,0,0,0,0,0,0,3.58,0,0,0
 96-106,0,0,1.88,0,10.48,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0
108-118,0,0,2.12,0,0,0,0.78,0,1.65,0,0,0.97,9.78,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0
120,0,0,0,0,5.11,1.1,9.69,0,24.12,0,0,0,3.51,5.93,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,19.49,0
