stage,epidermis,eye,fin.epithelia,gut,immune,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,3.68,0,0,0,0
 24-34,0,0,0,0,0,0,0.72,0,8.04,0,0,0
 36-46,0,0,0,0,0,0,1.51,0,0.64,0,0,0
 48-58,0,6.81,0,0,0,0,0.74,0,0,0,0,0.74
 60-70,0,0,0,0,0,0,0,0,0,0,1,0
 72-82,0,1.6,0,0,0,2.08,0,0,0.63,1.04,0,0
 84-94,0,1.52,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,5.68,0,0,2.69,2.22,0,0,0,0,0
108-118,0,0,0,2.06,0,0,0,0,0,0,0,0
120,4.26,0,0,23.89,40.51,0,0,0,0,0,0,0
