stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,262.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0
  5-6,0,322.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.37,24.73,15.49,0,0,36.24,0,0,0,0,28.6,0,0,0,0,0,0,0,0,159.47,8.45,0,0,55.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.23,30.03,0,6.59,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,160.03,24.48,0,0,61.91,0,0,0,8.34,0,0,0,0,0,0,0
 14-21,0,0,0.88,8.61,0,3.77,0,0,2.86,0,0,0,0,0,0,0,3.89,0,5.5,44.8,4.37,1.03,0,1.33,0,0,9.99,1.28,4.19,6.4,16.57,0,0,0,0
 24-34,0,0,0,3.36,0,8.68,0,0,0.91,0,0,0.98,0,0,0,0,5.38,0,5.9,76.56,0,0,0,0,0,1.4,0,0,0,1.97,14.38,0,0,2.03,0
 36-46,0,0,0,0.68,0,17.84,0,0.63,2.97,0,0,0,0,0,0,0,9.19,0,1.46,74.82,0,0,0.61,0,0,0,0,0,0,0,21.08,0,0,0,0
 48-58,0,0,0,0.42,0,31.22,0,0,5.46,2.58,0,0,0,0,0,0,17.78,0,0.9,60.32,0,0.68,0,0,0,0,0,0,0,0,11.31,0,0,6.54,0
 60-70,0,0,0,3.11,0,16.1,0,1.18,9.94,0,1.77,0.79,0,3.74,0,0,8.78,0,0,78.37,0,0,0,0,0,0.75,0,0,0,0,7.33,0,0.84,0,0
 72-82,0,0,0,1.06,0,5.3,0,1.31,2.58,0,0,0,0,0,0,0.68,8.09,0.91,0,23.34,0,0,0,0,0.71,1.02,0,0,0,0,3.95,0,0,0,0
 84-94,0,0,0,1.26,0,10.67,0,0.6,5.57,0.57,0,1.22,0,0.6,0,0,11.36,5.8,0,16.26,0,0,0.97,0,0,0.67,0,0,0,0,1,0,0,0,0.91
 96-106,0,0,0,0.88,0,12.42,0,0,3.7,1.8,0,0,0,0,0,0,12.88,0,1.85,19.62,0,0,0,0,0,1.92,0,0,0,0,0.57,0,0,2.25,0
108-118,0,0,0,1.4,0,14.41,0,0,2.24,0,0,0,0.46,0,1.34,0,9.05,0,2.75,36.66,0,1.21,0,0,0,1.25,0,0,0,0,2.47,0.54,0,0,0
120,0,0,0,0,0,4.27,2.05,0,4.74,0,0,0,0,0,0,0,4.65,2.58,0,29.7,0,0,0,19.84,0,5.79,0,0,0,0,0,0,0,6.12,0
