stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,15.58,0,0,0,4.97,0,0,0,0,0
 14-21,0,0,0.81,0,1.86,0,0,0,0,0,0,8.72,0,0,4.38,22.57,0,0,0,4.33,0.91,0,2.21,8.54,0,0,0
 24-34,0,0.59,2.14,2.06,4.42,0,0,0,0.98,0,0,5.28,0.63,0,1.62,12,0,0,0,0,0,0,0,6.78,0,0,0
 36-46,0,0,0,0,0,0,6.06,0.56,0,0,0,1.68,0,0,3.12,17.35,0,0,0,0,0,0,0,2.21,0,0,0
 48-58,0,0,0,0,0,0,1.65,0,0,0,1.35,4.54,0,0,3,10.55,0,0,0,0,0,0,0,0.97,0,0,0
 60-70,0,0,0,0,0.62,0,1.95,0,1.76,0,0,24.4,0,0,1.59,4.63,0,0,0,0,0,0,0,0,0.94,0,0
 72-82,0,0,0,0,0.84,1.44,4,0,0,1.13,0,11.73,0,0,1.31,5.18,0,0,0,0,0,0,0,0,0,2.19,0
 84-94,0,0,0,0,1.81,2.37,0.68,0,0,0,0,12.08,0,0.96,0,4.8,0.74,0,0,0,0,0,0,3.66,0,0,0
 96-106,0,0,1.76,0,0.91,1.02,0.93,0,0,0,0,8.9,0.68,0,0,0,0,0,0.81,0,0,0,0,0,0,0,4.9
108-118,0,0,0,0,2.01,1.11,0.89,0,0,0,0,7.29,0,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,22.22,0,0,0,0,0,0,6.7,0,0,0,18.89,0,0,0,0,0,0,0,0,0,0,0
