stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,126.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.68,87.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41,0,0,0,7.18,0,0,0,0,0,0,0,0,0
  7-9,594.84,7.46,0,7.31,0,0,0,116.54,0,0,0,0,0,33.23,0,0,0,0,0,0,0,0,0,1267.92,875.63,0,0,164.52,4.34,0,0,0,0,0,0,0,0,0
 10-12,3.8,49.26,0,120.97,0,0,0,490.73,0,0,0,0,0,56.17,0,0,0,0,0,0,0,0,0,3274.62,285.99,0,0,219.92,0,0,23.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,172.95,0,0,0,0,0,0,21.74,0,0,0,0,0,0,0,18.52,0,0,0,466.67,107.9,0,0,8.24,0,2.66,0,0,1752.47,0,0,0,0,0
 24-34,0,0,0,0.76,197,0,0,20.93,0,0,0,14.2,0,0,0,0,0.7,0,0,7.98,1.03,0,0.91,427.05,11.41,0,0,0,1.55,0,0,2.2,1743.03,0,0,4.13,0,0
 36-46,0,0,0,2.64,166.21,0,0,145.94,0,2.33,0,27.86,0,0,0,0,0,0,0,21.18,0.65,0,0,399.12,7.48,0,0,0,0,0,0,0,1284.19,0,0,4.9,0,0
 48-58,0,0,0,0,340.56,0,0,186.25,1.02,2.77,1.75,64.76,0.37,0,0,4.12,0,0,0,20.52,0,0.47,0,205.57,8.23,0,0,0,0,0,0,0,1178.05,0,0,0,0,0
 60-70,0,0,0,0,335.47,0,0,185.98,0,0,12.25,126.21,2.27,0,0,0,0,0,0,27.04,1.08,0,0,107.58,24.46,0,0,0,3.1,0,0,0,421.23,3.53,0,0,0,0
 72-82,0,0,0,0,381.81,5.31,0,162.4,0,0,31.08,200.84,7.35,0,0,1.03,0,0.51,5.43,43.34,1.39,0,0,115.71,18.2,0,0,0,0.74,0,0,0,426.77,19.3,0,0,5.29,2.8
 84-94,0,0,0,0,462.19,2.36,0,447,0,2.49,16.56,169.44,25.86,0,1.57,3.03,1.23,0,0,85,0,0,3.04,73.09,30.49,0.57,0,0,1.44,0,0,0.79,342.91,48.37,0,0,0.89,0
 96-106,0,0,0.99,0,380.93,7.9,1.52,410.43,0.79,9.37,24.33,250.05,89.3,0,0,3.41,0,0.75,5.31,107.38,2.07,0,0.58,59.88,37.14,2.73,0.68,0,5.38,0,0,0,565.44,70.04,0,3.74,0.91,0
108-118,0,0,0,0,368.54,0,1.01,502.68,1.3,0.87,17.06,220.86,75.8,0,0,1.19,2.45,0.49,0,37.43,0.94,0,0,97.39,64.76,0,0.75,0,0,0,0,0,293.18,58.16,0.77,0,0,0
120,0,0,0,0,233.31,0,0,171.81,0,0,3.03,230.5,21.53,0,0,0,0,0,11.31,16.84,6.28,0,0,67.82,78.93,0,0,0,0,0,0,0,232.19,12.06,0,0,0,0
