stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.38,0,28.84,5.51,0,1.02,0,0,0,2.97,0.98,0,0,0,0,0,0,0,10,0,0,3.17,75.85,1.61,0,0,0,10.25,0,2.51,0,0.99,3.12,18.91,0,0,2.23,0,0
 24-34,0,0.8,0,39.77,0.87,0,18.92,17.52,4.7,0.7,3.67,0.64,8.89,0,2.56,0,0.81,0.86,17.6,29.79,8.24,0,16.21,257.96,5.47,0.72,5.2,0,16.25,0,0,1.54,2.86,3.98,107.69,0,0,50.35,0,7.66
 36-46,0,0,0,36.55,1.12,0,66.78,0.64,10.49,3,27.74,0.95,3.79,0.56,1.79,0.86,3.36,0,1.48,60.33,0.95,2.04,8.12,280.16,10.3,4.78,10.68,7.92,20.36,0.81,0,0.84,1.41,0,49.82,0,0,32.15,0,2.54
 48-58,0,0,0,34.31,6.79,0,111.22,3.56,7.97,2.58,42.76,0.93,0,0,0,0,0,1.34,1.34,57.98,0,2.39,15.53,266.02,1.01,2.43,4.64,0.45,23.65,0,0,15.48,0,0,61.64,0,0,9.18,0,8.98
 60-70,0,0,0,40.17,0,0,142.58,0,3.32,0,34.89,3.51,0,2.91,9.78,2.33,1.02,1.2,0,75.32,2.44,1.78,9.47,169.67,12.05,1.47,0.88,2.07,28.86,0,0,7.62,0,0,17.81,0,0.99,20.65,0,8.91
 72-82,0,2.08,0,23.74,9.65,0,222.15,0,3.53,4.97,44.86,3.3,1.14,1.03,0,2.97,3.54,0,0,129.11,1.48,2.77,14.18,232.24,1.03,3.1,2.15,0,5.75,0,0,19.25,1.5,0,13.77,1.44,12.45,40.43,6.72,5.33
 84-94,0.62,2.52,0,33.82,0.66,0,259.05,8.29,5.25,3.26,19.69,7.14,4.17,2.41,10.61,0,1.57,0,10.24,93.76,4.83,11.43,13.74,89.28,0,4.04,6.32,0,23.74,0,0,17.35,0,0,38.04,0.89,3.82,26.87,7.5,2.42
 96-106,0,2.14,0,15.88,10.69,0,109.95,0.57,1.83,1.01,29.16,0,1.55,1.72,0.8,0.79,0,0,0,75.91,5.14,6.16,15.06,103.08,0.79,9.33,6.07,3.79,28.17,0,0,9.52,0,0,2.97,1.68,1.48,24.6,3.27,3.67
108-118,0,1.18,1.06,21.61,4.22,2.79,59.83,0.64,8.26,6.67,29.94,1.72,2.13,1.59,0.67,2.19,2.4,3.62,0.83,110,0.44,0.69,1.61,92.76,2.19,1.85,5.89,2.09,18.09,0,0,9.38,0,0,9.22,4.38,3.84,15.3,0,2.37
120,0,0,0,25.62,0,4.77,125.6,3.35,13.75,2.48,16.06,1.21,4.91,6.57,0,0,7.58,0,0,66.44,0,16.04,15.34,308.85,3.75,0,7.96,0,24.23,0,0,24.35,0,0,11.23,0,0,10.41,18.31,0
