stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,40.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.77,115.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.68,0,0,6.47,0,0,0,3.78,0,0,0,0,0,0,0,77.17,8.38,0,0,16.84,0,0,0,0,0,0,0
 10-12,0,10.46,0,0,0,0,13.86,0,0,0,0,0,0,0,0,0,0,0,36.84,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,2.99,0,0,0,1.06,0,0,0,0,0,0,0,0.89,2.07,9.72,0,0,0,0,0,6.99,5.32,7.46,0,0,0
 24-34,0,0,0.6,0,5.98,0,1.43,0,3.06,0,0,0,1.1,0,0.78,0,0.62,0,63.23,0,1.06,0,0,0,0,0,9.74,0,0,0
 36-46,0,0,0,0,0.73,0,0,0.62,5.47,0,0,0,0,0,0,0,0.75,0.57,165.84,0,1.63,0.84,0,0,0,0,25.15,0,0,0
 48-58,0,0,0,0,0,0,2.61,0,4.33,0,0,0,0.88,0,0,5.83,2.01,0,195.58,0,4.61,0,0,0,0,0,9.78,0,0,0
 60-70,0,0,0,0,0,0,4.22,0,16.19,0,0,0,0,0,0,0,6.75,0,193.35,0,1.45,1.81,0,0,0,0,5.7,1.62,0,0
 72-82,0,0,0,0,0,0,12.16,2.11,12.25,0,0,0,0.73,0,0.88,0,6.04,0,307.82,0,3.98,0,0,0,0,0,4.41,0.94,0.51,0.49
 84-94,0,0,0,0,2.29,0,10.17,1.1,11.6,0.73,0,0,1.52,0.55,0,0,4.6,0,228.14,0,15.1,1.56,0,0,0,0,6.33,0,0,0
 96-106,0,0,0,0,5.08,0,24.93,0,12.66,0,0,0.8,3.21,0,0,0,8.23,0,229.71,0,10.87,0,0,0.68,0,0,1.37,0,0,0
108-118,0,0,0.95,0,2.25,0.52,12.98,0,14.36,0,0,0,1.3,0,0,0,5.38,1.48,447.75,0,9.36,2.06,0,0,0,0,0,0,0,1.72
120,0,0,0,0,0,0,21.05,0,11.89,0,0,0,0,0,5.57,0,9.05,0,712.82,0,1.57,0,0,0,0,0,0,0,2.55,0
