stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,19.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.12,0,0,3.54,0,0,0,0,0,0,0,0,54.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.97,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,12.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.55,2.59,31.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.08,0,8.41,0,0,0,0,0,1,88.09,0,0,0,0,0
 24-34,0,0,1.85,1.03,51.15,0,5.92,0,1.34,0,0,0,0,0,0,0,0,0,2.18,2.96,0,0.65,0,0,946.43,0,132.48,0.77,0,0,0,5.5,0.62,263.37,0,0,0,0,0
 36-46,0,0,0.74,0,47.48,0,57.66,0,2.74,0.57,8.01,0,0,0,16.36,0,0,0,0,0,1.23,0,0,2.42,2271.09,0.64,203.13,0,0,0,0,0,0,462.19,0,0,0,0,0
 48-58,0,0,2.38,0,14.03,0,219.92,0,1.06,0,27.75,0,0,0,0,0,0,0,0,0,3.91,0,1.22,0.43,3226.95,4.52,138.26,0,0,0,0.48,0,0,374.87,0,0,0,0,8.81
 60-70,0,0,5.58,0,43.92,0,905.69,0,6.63,0,40.37,0,0,0,0,0,0,0,0,6.35,12.3,2.56,0,0,4131.02,0,92.8,1.23,0,0,2.31,0,0,327.73,0,0,0,0,0
 72-82,0,0,7.31,0,19.33,0.57,1496.65,0,5.39,0,49.07,1.51,0,0.87,0,0,0,0,10.65,0,12.73,0,6.79,0.92,3923.9,0,139.33,0,0,0.83,0,0,0,186.8,0,0.58,5.85,1.87,0
 84-94,0,0,7.63,0,32.42,0,938.49,0,0.55,0,40.01,0,0,0,0,0,0.55,0,1.67,0,10.24,0,0.6,0,2531.41,7.92,143.17,1.44,0,0,5.67,0,0,133.46,0.9,0,1.54,0,6.59
 96-106,0,0,5.08,0,41.42,0,805.34,0,2.43,1.28,38.63,9.75,0,0,0,1.73,0,0,4.97,0,20.33,0,1.37,2.25,2011.79,0,198.2,2.38,0,0,3.5,0,0,68.69,4.84,0,2.1,1.91,2.75
108-118,0,0,5.88,0,37.7,0.72,647.99,0,3.6,0,41.02,0,0,0,0,1.73,1.88,1.29,2.01,0,21.39,0,0.94,0,2253.01,0,158.95,0,0,0,0.98,1.48,0,61.75,6.28,0,0,0,0
120,0,0,4.41,0,35.91,3.27,432.27,1.26,2.35,0,24.29,2.51,0,0,0,0,0,0,5.48,1.79,25.28,0,0,0,2409.72,0,75.85,0,0,0,0,0,0,29.1,0,0,0,0,0
