stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,48.14,0,0,0,33.53,0,0,0,0
 14-21,0,2.12,0,8.67,0,0,0,1.31,0,11.64,1.39,0,18.68,6.01,0,0,15.03,851.9,1027.85,1.71,0,0,0
 24-34,0,0.82,0,3.8,4.22,0,0,1.51,0,6.87,1.38,0,18.25,41.95,0,0,0,89.64,363.64,2.28,0,5.33,0
 36-46,0,1,0,1.78,16.48,0,0,0,0,0,1.26,0,6.7,9.38,0,0,0,63.06,14.97,0,0,0,0
 48-58,0,2.46,0,6.44,8.91,0,0,6.14,0,0.38,0.45,0.46,20.28,12.58,0,0,0,4.49,0,1.04,1.11,0,1.9
 60-70,0,0,0,1.82,11,1.61,0,0,0,10.66,2.8,0,6.95,3.97,0,4.52,0,3.33,0,0,0,0,0
 72-82,0,0,0,3.03,7.78,0,0,1.63,0,0,0,0,10.38,13.26,0,0,0,6.68,0,0,0,0,0
 84-94,0,0,0,14.74,10.32,0,0,0,0,0,5.37,0,3.88,0,0,0,0,2.1,0,0,0,0,0
 96-106,0,0,13.17,7.77,15.82,0,0,0,0.88,0,0,0,3.71,6.23,0,0,0,0.64,0,0,0,3.19,0
108-118,0,1.08,0,9.02,10.91,0,0.66,0,0,0.44,3.06,0,5.68,1.53,0,0,0,3,0,0,0,0,0
120,0,0,2.14,0,15.18,0,0,0,0,0,0,0,14.36,6.57,0,0,0,5.6,0,0,0,0,0
