stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,33.41,674.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,0,0,0,0,0
  5-6,44.37,605.92,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0
  7-9,15.61,0,11.32,0,0,25.84,0,0,0,0,51.98,0,0,0,0,0,0,0,0,0,443.18,6.98,0,0,100.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,23.75,0,5.18,27.46,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,611.88,26.57,0,0,158.51,0,0,0,10.04,0,6.57,0,0,0,0
 14-21,0,0,1.33,10.78,0.91,0,0,0,1.28,0,0,0,0,0,0,0,1.75,0,0,2.35,73.62,0.91,0,1.27,0,0,13.66,2.52,0,2.44,24.61,0,0,1.77,0
 24-34,0,0,0,4.22,0,23.65,0,0,0,0,0,0,0,1.34,0,0,10.34,0,0,4.15,154.03,2.1,1.85,0,0,0,13.45,0,0.98,0,33.4,0,0,4.18,0.93
 36-46,0,0,0,0,0,43.53,0,0,3.1,0,0,0,0,0,0,0,19.62,0,0,2.85,134.5,3.64,0,0,0,0,13.16,2.6,0.62,0,26.14,0,0,0.73,0
 48-58,0,0,0,6.78,0,33.21,1.35,0,3.03,0,0,0.78,0.74,0.48,0,0,7.14,0,1.07,1.35,48.66,0,0,0,0,0,6.28,0,0,0,5.75,0,0,4.11,0
 60-70,0,0,0,5.52,0,37.47,0,0,9.51,0,0,0,0.64,0,0,0,5.72,0,0,0,38.31,0,0.72,1.12,0,0,3.6,0,0,0,10.79,0,0,0,0
 72-82,0,0,0,5.17,0,12.46,0,0,8.19,0.7,0,0,0,0,0,0,10.1,1.31,0.72,1.1,27.65,0,0,0.54,0,1.4,2.29,0,0,0,0.99,0,0,2.56,0
 84-94,0,0,0,3.62,0,11.39,0,0.63,2.39,0,0,0,0,2.31,0,3.1,5.68,0,0.78,1.46,15.57,0,0.9,0.64,0,0,0.72,0,0,0,3.46,0,0,0.64,3.76
 96-106,0,0,0,2.95,0,6.29,0.73,0,3.59,0,0,0,1.24,0,0,0,14.42,0,0,1.89,9.08,0.91,1.28,0.64,0,0,2.87,0,0,0,0,0,0,0,1.22
108-118,0,0,0,1.41,0.57,20.54,0,0,11.44,0,0,0,1.15,0,0.51,0,18.28,0,0.46,3.08,32.53,0,1.4,1.41,0,0,4.34,0,0,0,1.81,1.88,2.08,5.36,0.87
120,0,0,0,17.79,0,9.64,0,0,7.85,0,0,0,10.41,2.5,0,3.71,10.6,0,0,3.27,29.31,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0
