stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,xanthophores
  5-6,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.46,0,3.68,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,18.12,0,0,0,0,14.32,4.18,27.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.65,0,0,0,1.32,0,17.87,0,0,0,0,1.37,0,10.99,0,0
 24-34,0,1.35,0,0.62,0,0,0,0,0,0,0,79.83,0,0,0,0,0,0.7,30.86,0,0
 36-46,0,0,0,8.57,0,0.98,0,0,0,0,0,178.74,0,0,0,0,0,0,32.79,0,0
 48-58,0,0,0,15.32,0,0.47,0,0,2.25,0.39,0.9,151.29,0,0,0,0,0,0,24.73,0,0
 60-70,0,0,0,70.82,0,1.61,0,0,0,0,0,329.85,0,0,0,0,0,0,84.48,0,0
 72-82,0,0,2.57,142.83,0,9.88,0,0,0,1.25,0,295.34,0,0,0,0,0,0,38.2,0,0
 84-94,0,0,0,116.39,0,5.38,0,0,0,0,0,223.12,0,0,0,0,0,0,53.74,0.64,9.33
 96-106,0,0,0,153.8,0,7.07,0,0,0,4.48,0,209.47,0,0,0,3.39,0,0,28.61,1.25,0
108-118,0,0,4.32,116.08,0,9.35,0,0.59,0,1.19,0,299.14,0.46,0,0.54,0,0,0,2.92,0,0
120,0,0,1.73,143.27,2.29,15.63,0,0,0,0,0,542.34,0,0,0,0,0,0,30.79,0,0
