stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,6.33,0,0,0,0,0,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,36.3,0,0,0,0,0,0,0,0,0,0,0,21.26,0,0,0,0,0,208.16,0,0,0,34.8,0,0,0,12.48,0,0,0,0,0,0,0
 14-21,0,0,1.21,31.78,1.13,0,436.15,0,0,0,9.47,0,0,0,0,0,0,0,0,0,5.15,0,0,9.91,3967.14,0,0,0,15.28,4.13,0,1.23,0,2.82,97.92,0,0,0,0,0
 24-34,0,0.8,0,35.16,2.4,0,341.25,0,0,0,42.03,0,2.12,0,5.2,0,0.7,1.48,8.82,0,11.53,0.93,1.66,3.43,6885.12,3.17,2.26,4.35,0,5.66,0,0,0,4.68,410.86,0,0,4.89,0,0
 36-46,0,0,0,8.78,0,0,264.85,3.04,0,0,385.47,0,0,0.56,0,0,0,0,0,5.76,15.44,0,0,1.28,6482.05,0,4.4,0,0,22.47,0,24.54,0,0,703.87,0,0,8.59,0,11.77
 48-58,0,0,0,11.13,0,0,264.62,0.45,0,0,582.55,0,0,2.25,1.28,0,0,0,0,0,6.47,0,0,6.02,2553.93,0,1.63,0.97,0,8.93,0.65,0,0,0,622.95,0,0,1.04,0,0
 60-70,0,0,0,0,0.59,0,286.5,0,0,0,578.62,0,0,0,0,0,0,0,0,0,13.43,0,0,0,855.47,0,0,2.74,0,6.47,0,0,9.88,0,137.55,0,0,0,0,0
 72-82,0,0,0,10.45,0,0,306.29,0,1.14,5.35,691.11,0,0,0,0,0,0,0,1.4,0,20.75,0,0,5.54,699.29,0,2.01,0,0,0,0,0,0,0,30.78,0,0,0.9,1.29,0
 84-94,0,0,0,11.9,0,0,485.21,0,1.25,1.89,597.81,4.1,0,0,1.54,0.82,0,0,0,0,4.57,0,1.4,0.83,569.37,0,0,0.73,0,0,0,0,2.87,0,12.63,0,0,0,0,0
 96-106,0,0.63,0,11.68,0,2.47,441.01,0,0,0,688.48,0,0,3.06,0,0.97,0.87,0,0,0,14.15,0,0,5.06,523.72,0,1.34,0,0,2.13,0,0,0,0,10.04,14.23,0.76,3.24,0,0.86
108-118,0,0,1.15,7.87,0,2.84,514.02,3.73,0.77,4.07,1003.87,0,0,0,0,0,0,0.87,0,0,12.05,0,1.98,0.42,835.36,0,0,1.1,0,0.58,0,0,0,0,4.31,0,0,0,0,0
120,0,0,0,33.73,4.22,0,349.49,0,1.44,0,967.66,0,0,0,0,0,0,0,0,0,0,0,0,1.93,639.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
