stage,blastomeres,endocrine_pancreas,erythrocytes,eye,immune,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.39,14.3,0,0,0
 14-21,0,0,0,0,0,0.93,0,0,0,0,0
 24-34,0,0.8,0,0,0,0.89,2.05,0,0,1.32,0
 36-46,0,0,0,0,0,0.73,2.84,0,0,0.94,0
 48-58,0,0,0,0,0,0,4.72,0,0,0,0
 60-70,0,0,0,0.67,0,0,0,0,0,0,0
 72-82,0,0,1.38,0,0.53,0,3.65,0,0,0,0
 84-94,0,0,1.6,0.78,0,0,0,0,0.76,0,0
 96-106,0,0,0,0,0,0,3.68,0,0,0,0.95
108-118,0,0,0,1.31,2.17,0,2.97,0,0.53,0,0
120,0,0,0,0,1.43,0,0,0,0,0,0
