stage,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,iridophores,liver,mesenchyme,neural,otic,pronephros
 10-12,0,0,0,0,0,0,0,0,9.48,0,0
 14-21,1.11,1.25,0,0,0,0,0,0,0.94,0,0
 24-34,0,0.7,0,0,0,0,0,0,1,0,6.53
 36-46,0,0,0.67,0,0,0,0,0,0,0,13.52
 48-58,0,0,0.5,0,0,0,2,0,0.38,0,2.54
 60-70,0,0,0,0,1.64,1.16,0,0,0.98,0,1.84
 72-82,0,0,0,0,0,0,0,0.75,6.08,0,4.11
 84-94,0,0,1.17,0,0,0,1.78,0,0,0,2.49
 96-106,1.68,0,0,0,0,0,0,0,0.82,0,2.5
108-118,0,0,1.73,0.7,0,0,0,0,0.82,0.76,2.25
120,0,0,17.12,0,2.35,1.92,0,0,0,0,15.96
