stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,3.89,0,10.55,0,0,0
 24-34,0,0,0,0.68,0,0,0,0,0,1.28,1.33,0,0,0,0,0.76,1.44,0,0,0
 36-46,0,0,2.2,2.01,0,0,0.84,0,0,1.24,2.99,0,0,0,0,0.76,0.71,0,0,0
 48-58,0,0,0.74,4.37,0,0,0,0,0.45,0.45,3.67,0.62,0,0.69,0,0,0,0,1.56,0
 60-70,0.69,0,7.6,1.97,0,0,0,0,0,0,2.83,0,0,0,0,1.48,0,0,0,0
 72-82,0,0,0,9.01,0,0,0,0,0,1,9.95,0,1.53,0,0,0,0,0,0,0
 84-94,0,2.58,4.77,2.45,0,1.17,0,0,1.36,1.62,13.55,0,0,0,0,0,0,0,0,0
 96-106,0,7.98,4.31,9.16,0,0,1.75,0,1.21,3.47,2.89,0,0,0,0,1.21,0,1.71,0,0
108-118,0,0,0,3.17,0.56,0,2.01,0,1.84,2.64,1.68,0,0,0,0,0,0,0,0,3.94
120,0,3.15,1.51,11.4,0,0,0,7.81,3.62,2.6,0,0,0,0,0,0,0,0,0,0
