stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,heart,ionocyte,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,781.25,19709,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0
  5-6,378.89,5153.35,0,0,0,0,0,0,0,0,334.41,8.9,0,0,123.08,0,0
  7-9,0,0,4.57,0,0,0,0,0,0,0,71.64,0,0,5.59,0,123.29,0
 10-12,0,7.57,0,0,0,0,0,0,0,0,11.71,0,0,12.83,0,33.03,0
 14-21,0,0,0,1.75,0,0,1.98,0,0,0,4.44,0.81,1.83,0,0,10.14,1.27
 24-34,0,0,0,0,0,2.78,0.82,0,0.63,0,5.84,0,0,0,0,0,0.75
 36-46,0,0,0,0,0,0,1.49,0,0,0.82,2.26,0,0,0,0,0,0.77
 48-58,0,0,0,0,0,0,0.38,1.06,0,0,1.76,0,0,0,0,0,0.66
 60-70,0,0,0,0,0,0,1.8,0,0,0,1.2,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.59,1.33,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.45,0,0,0,0,2.52,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,14.08,7.55,0,0,0,0,0,0
