stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.41,0.84,5.23,0.84,0,3.7,0,0,0,0.96,0,0,0,0,0,0,0,0,10.51,0,0,8.42,82.4,2.02,0,0,1.98,0,0,4.7,0,7.87,15.95,31.66,0,0,0,0
 24-34,1.33,0,5.86,0,0,5.82,30.03,1,0.67,0.6,0,3.89,0,1.01,0,0.7,0,1.75,19.28,0,0,27.14,168.24,0,3.98,4.11,0,0,3.25,0,0,26.22,45.49,28.97,0,12.91,0,0.78
 36-46,0,0,3.64,0,0,20.83,144.69,1.38,0.62,14.56,0,0,0,3.96,9.5,0,1.07,0,18.16,0,0,13.69,116.7,0.82,0,3.52,7.09,0,5.43,0,2.4,31.34,0,13.49,0,1.33,0,2.08
 48-58,0,0,0.55,0,0,62.46,87.69,0,1.05,5.72,0,0.55,4.74,0.43,0,0.49,4.44,0,26.89,0,3.08,28.74,115.97,4.41,2.73,2.45,0,0.56,19.4,0,0,35.24,0,32.85,0.42,8.5,0.78,1.06
 60-70,0,0,7.3,0,0,111.99,71.04,0,0,5.27,0,3.46,6.79,5.27,0,2.46,0,6.87,29.5,0,0,24.77,186.43,0,0,2.66,0,1.44,0,0,1.06,17.8,0,9.62,2.79,9.89,0,0
 72-82,1.65,0,5.28,0,0,98.67,46.75,0,3.94,14.87,1.13,5.63,6.91,0.56,0,0.95,0.96,0,23.31,0,0,35.42,102.31,0,0,2.78,0,0,0.72,0,0,4.03,0,17.09,0.52,5.11,0,0
 84-94,1.15,0,2.84,0,0,66.29,19.62,0.6,1.03,8.38,0,1,7.03,3.42,1.61,1.88,0,1.11,25.12,0,6.15,2.48,92.43,0,1.87,3.44,0,0,0,0,0,1.99,0,2,1.04,1.96,0,0
 96-106,0,0,3.88,7.13,0,83.94,41.52,0,2.83,33.74,1.1,3.11,7.21,9.32,0,2.02,0,0,21.39,0.98,6,10.14,97.18,0,0,0,0,2.84,6.79,0,0,11.64,0,5.2,0,11.71,0,0
108-118,0,0,0.99,4.14,0.95,72.18,31.24,0.42,0,13.2,0.54,1.02,13.35,0,1.87,1.77,0,0,24.2,0.91,2.91,12.54,52.22,0.94,2.63,1.17,0,1.07,3.2,0,0,13.69,0,4.24,0,5.64,0,0
120,0,0,1.07,2.25,0,33.44,13.98,0,0,19.89,0,0,18.69,2.37,0,1.84,0,0,25.41,0,0,0,79.03,0,10.93,0,0,0,4.52,0,0,1.52,0,7.91,0,4.17,0,0
