stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2.16,12.4,0,12.29,0,1,0,2.53,1.38,1.92,0,0,0,0.93,0,3.51,33.3,0.95,0,12.99,30.69,32.99,0,0,3.49,0,0,54.46,2.86,5.23,36.06,4.95,0,0,32.74,0,4.51
 24-34,0,0,8,0,0,20.8,0,0.92,3.08,0,1.47,7.28,4.01,0,5.85,1.35,0,41.81,242.54,6.69,0,63.52,93.76,65.78,0,0,0,0,3.16,2.17,0.7,0,3.37,13.34,0,0,404.71,0,60.63
 36-46,0,0,9.13,0,0,9.31,0,0,10.18,4.09,0.72,6.33,15.28,1.81,13.79,1.17,0,77.25,520.81,0,2.61,62.95,109.57,98.28,1.2,0,0,0,18.52,0,0.75,1.13,0,17.89,0,2.46,529.63,0,123.21
 48-58,0,0,13.4,9.6,0,26.55,0.8,0.39,16.48,4.99,0,16.89,21.35,0,40.94,0,0,112.33,488.03,0,20.28,47.99,151.3,123.64,0.48,0,0,4.23,0,0,2.86,1.87,0,29.34,0,3.98,446.09,0.9,159.41
 60-70,5.05,0,12.88,10.5,0,42.87,4.99,0,12.3,26.64,0.83,31.03,18.11,0,64.44,2.2,0,77.38,588.99,0,104.7,43.43,186.12,76.96,0,0.94,0,45.16,2.86,0,3.43,3.2,0,51.45,0,29.44,322.32,51.95,117.66
 72-82,0,0,2.01,2.52,0,60.84,4.72,0,20.62,159.92,0,18.32,44.78,0,67.6,0,0,59.25,586.52,0,150.63,26.59,246.02,54.46,1.49,0.66,0,73.78,2.16,0,1.31,0.51,0,37.79,1.42,71.53,578.28,201.63,163.63
 84-94,0.62,0.7,10.53,4.03,0,80.54,5.55,1.88,10.8,160.46,2.99,5.92,71.84,1.08,70.71,1.91,0,97.76,517.92,0,142.38,32.25,186.75,75.58,0,0.62,0,94.19,2.86,0,0.58,0,0,30.18,0,89.61,552.48,218.41,120.91
 96-106,0,0,5.61,13.05,0,59.43,9.89,2.15,13.59,307.86,3.95,25.3,55.34,0.71,64.54,0,13.59,79.77,458,0,141.02,42.44,268.09,40.42,3.97,1.98,0,208.47,30,0,3.29,0,0,10.45,0,91.11,717.37,269.85,142.71
108-118,0.78,0,11.6,7.81,5.23,60.87,7.81,0.64,13.88,372.66,0,14.68,97.3,1.11,160.61,0,2.24,116.63,468.27,0,164.28,25.64,172.7,52.02,0.42,1.23,0,246.49,14.26,0,6.17,2.27,0,10.92,0,75.16,626.09,248.82,189.55
120,0,0,10.69,10.85,0,28.38,50.26,1.11,3.89,348.95,2.56,33.38,139.94,0,103.29,0,6.12,50.41,519.74,1.59,227.55,50.63,211.8,120.54,1.61,0,0,334.48,13.64,0,1.83,1.21,0,26.58,0,59.37,515.05,431.46,77.74
