stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,25.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.29,63.12,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.25,0,0,0,0,0,0.81,16.95,0,0,0,0
 24-34,0,0,0,0.74,0,2.41,0,0,0,0.6,0,0,0,0,0,0,0,0,2.4,0,0,0.77,224.8,0.76,0,0,0,0,0,53.21,0,0,0,0
 36-46,0,0,0,0,0,24.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.34,2.27,0,0,0,0,0,110.04,0,0,0,0
 48-58,0,0,0,12.69,0,144.55,0,0.41,1.4,11.29,0,0.66,1.35,2.86,0,0,0,0.86,15.27,0,0,0.38,1191.41,1.6,0,0,0,0,0,203.83,0,0.44,0,13.96
 60-70,0,0,0,0,0,686.55,0.89,0,0,30.95,0,0,0,0,0,0,1.82,0,7.89,0,0,0,2047.52,0.96,0,3.66,1.35,0.65,0,223.51,0,0,0,4.11
 72-82,0,0,1.32,6.92,3.95,699.47,0,0.99,0.61,19.44,0,0,0,0,0,1.9,3.73,0,21.46,0,1.52,1.07,1528.71,1.2,4.41,6.04,0,0,0,168.16,0,0.9,0.52,0
 84-94,0,0,0,8.54,0,545.51,1.27,0,0,24.42,0,0,0,0,3.5,0,0,0,14.35,0.62,0,2.56,1106.33,3.21,0,1.76,0,0,0,152.69,0,7.09,0,9.94
 96-106,0,0,0,4.85,7.92,472.42,0.88,0,0,11.87,0,0,0.72,0,0,0,0,0,17.41,0,1.06,3.19,944.37,1.92,0,0,0,0,0,40.54,0,0,0,0
108-118,0,0,0,13.22,1.73,440.72,0,0.42,1.09,14.03,0,0,0.64,0.43,0.75,1.66,0,2.88,13.49,0,1.38,0.9,1245.37,0.57,2.26,0.5,0,0,0,39.64,0.68,1.23,0.98,2.97
120,0,0,0,10.84,14.92,384.95,0,2.09,0,45.41,0,0,0,0,0,0,0,0,5.03,0,9.54,3.67,1807.81,2,4.69,0,0,0,0,62.22,0,0,0,0
